problem_family,base_setting,seed,step,eval_algo,vector_source,source_algo,target_relative_op_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,4,3,Adam,own_vectors,Adam,0.001,0.00011761284773264642,0.00011732264824193642,2.901994907100015e-07,2.892158692868226e-07,0.27928609143338184,0.006724514766963145
MatrixFactorizationInput,MF input kappa=1e+02,4,3,Adam,other_vectors,Muon,0.001,0.00011761284773264642,0.00011737481281261542,2.3803492003099857e-07,2.3744481202351604e-07,0.22929251304469606,0.006724514766963144
MatrixFactorizationInput,MF input kappa=1e+02,4,3,Muon,own_vectors,Muon,0.001,0.0001461819939042717,0.00014616674353169984,1.5250372571869696e-08,1.5176905721494866e-08,0.07641529849378007,0.006475747144673085
MatrixFactorizationInput,MF input kappa=1e+02,4,3,Muon,other_vectors,Adam,0.001,0.0001461819939042717,0.00014617001279928942,1.1981104982287287e-08,1.1917674561996601e-08,0.06000516018999163,0.006475747144673085
MatrixFactorizationInput,MF input kappa=1e+02,4,10,Adam,own_vectors,Adam,0.001,1.5735166391101975e-05,1.53859802067205e-05,3.49186184381473e-07,3.573317725650805e-07,0.38162612927810663,0.007277146855535191
MatrixFactorizationInput,MF input kappa=1e+02,4,10,Adam,other_vectors,Muon,0.001,1.5735166391101975e-05,1.5553130752645556e-05,1.8203563845641863e-07,1.9236525806591004e-07,0.20544383253774878,0.00727714685553519
MatrixFactorizationInput,MF input kappa=1e+02,4,10,Muon,own_vectors,Muon,0.001,0.00013600720928367763,0.00013589468089477203,1.1252838890560214e-07,1.1206928957626113e-07,0.16028361469413407,0.006923281151362083
MatrixFactorizationInput,MF input kappa=1e+02,4,10,Muon,other_vectors,Adam,0.001,0.00013600720928367763,0.00013596303311746795,4.417616620967335e-08,4.3879591947180516e-08,0.06275742119175082,0.006923281151362084
MatrixSensing,Matrix sensing kappa=1e+02,0,0,Adam,own_vectors,Adam,0.001,0.012595069754438687,0.012542769550361366,5.230020407732093e-05,5.2366074071486114e-05,0.8302154535473552,0.0011797226009421442
MatrixSensing,Matrix sensing kappa=1e+02,0,0,Adam,other_vectors,Muon,0.001,0.012595069754438687,0.012542769550361366,5.230020407732093e-05,5.2366074071486114e-05,0.8302154535473552,0.0011797226009421442
MatrixSensing,Matrix sensing kappa=1e+02,0,0,Muon,own_vectors,Muon,0.001,0.012595069754438687,0.012542769550361366,5.230020407732093e-05,5.2366074071486114e-05,0.8302154535473552,0.0011797226009421442
MatrixSensing,Matrix sensing kappa=1e+02,0,0,Muon,other_vectors,Adam,0.001,0.012595069754438687,0.012542769550361366,5.230020407732093e-05,5.2366074071486114e-05,0.8302154535473552,0.0011797226009421442
MatrixSensing,Matrix sensing kappa=1e+02,0,1,Adam,own_vectors,Adam,0.001,0.002669788132274374,0.0026336634973024,3.61246349719741e-05,3.6277928697510135e-05,0.8511058013267613,0.0017022373770223494
MatrixSensing,Matrix sensing kappa=1e+02,0,1,Adam,other_vectors,Muon,0.001,0.002669788132274374,0.0026798207872525985,-1.0032654978224531e-05,-9.903155816664482e-06,-0.2323350221365999,0.0017022373770223475
MatrixSensing,Matrix sensing kappa=1e+02,0,1,Muon,own_vectors,Muon,0.001,0.009440728451388599,0.009397214927872127,4.3513523516471725e-05,4.357482923823738e-05,0.8213680815121426,0.0011712164107297671
MatrixSensing,Matrix sensing kappa=1e+02,0,1,Muon,other_vectors,Adam,0.001,0.009440728451388599,0.009452759222841696,-1.2030771453097264e-05,-1.1958201234319572e-05,-0.22540730458101776,0.001171216410729766
MatrixSensing,Matrix sensing kappa=1e+02,0,3,Adam,own_vectors,Adam,0.001,0.005210448609248181,0.005141976011591448,6.847259765673311e-05,6.873533682737018e-05,0.8334710245467754,0.0025036131149139087
MatrixSensing,Matrix sensing kappa=1e+02,0,3,Adam,other_vectors,Muon,0.001,0.005210448609248181,0.005271861937403291,-6.141332815511047e-05,-6.117559682749409e-05,-0.7418031207605678,0.0025036131149139074
MatrixSensing,Matrix sensing kappa=1e+02,0,3,Muon,own_vectors,Muon,0.001,0.004715298709383537,0.004686237737275798,2.9060972107738947e-05,2.911553994008262e-05,0.8021436860085833,0.0011994782051751394
MatrixSensing,Matrix sensing kappa=1e+02,0,3,Muon,other_vectors,Adam,0.001,0.004715298709383537,0.004741713184588621,-2.6414475205084262e-05,-2.6354167179393578e-05,-0.7260668648587392,0.0011994782051751396
