group_type,problem_family,base_setting,target_relative_update_norm,metric,n_pairs,muon_higher_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.1,update_grad_inner,25,10,0.4,0.9996917122726587,0.9906479475489872,1.0088180387990167,False,False,8.140946377395726e-06,-9.90103755533797e-06,2.6182930310129423e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.1,delta_loss,25,10,0.4,1.0026853808336105,0.99530794323864,1.0101175015905486,False,False,1.1372454638003265e-05,-2.9994668788452103e-06,2.5744376154851743e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.1,update_grad_cosine,25,17,0.68,1.011057327390363,1.0047769712930485,1.0173769388387013,True,False,0.008926094480385989,0.004135108808567623,0.013717080152204355
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.3,update_grad_inner,25,19,0.76,1.6843775980980895,1.1335598510696476,2.5028479001770605,True,False,0.0011502293663097011,0.00044066304605496376,0.0018597956865644386
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.3,delta_loss,25,20,0.8,0.6698781802273078,0.31240930231613545,1.4363745670113262,False,False,0.0010160541312776898,0.0004920659925317635,0.0015400422700236162
target_setting,MatrixSensing,Matrix sensing kappa=1e+05,0.3,update_grad_cosine,25,20,0.8,2.2266179092826843,1.3553052117502287,3.6580891676317697,True,False,0.3896333666763521,0.2034386595097833,0.5758280738429209
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.001,update_grad_inner,50,22,0.44,1.008542805624573,0.9820843819224316,1.0357140481004248,False,False,2.149983360374554e-08,-1.0979008858691857e-07,1.5278975579440964e-07
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.001,delta_loss,50,22,0.44,1.009125970301829,0.9825137653396022,1.0364589890357658,False,False,2.4194588830184215e-08,-1.0764755147782447e-07,1.560367291381929e-07
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.001,update_grad_cosine,50,22,0.44,1.0063413299717305,0.9797317916682445,1.0336735839559226,False,False,0.002226747068053856,-0.014647753454812062,0.019101247590919773
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.003,update_grad_inner,50,23,0.46,1.0120166166906257,0.9853186882178513,1.0394379450067814,False,False,1.2725450962991082e-07,-2.6114448870635925e-07,5.156535079661808e-07
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.003,delta_loss,50,26,0.52,1.0133531763209125,0.9865120937918193,1.040924552696242,False,False,1.4845404384011828e-07,-2.399592389237352e-07,5.368673266039717e-07
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.003,update_grad_cosine,50,22,0.44,1.008309484476366,0.981679591620455,1.0356617629248577,False,False,0.0034093215421340363,-0.013365544256323136,0.020184187340591207
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.01,update_grad_inner,50,23,0.46,1.0179569045399481,0.9943745275138147,1.0420985562566685,False,False,7.852126047551351e-07,-3.459472977610355e-07,1.916372507271306e-06
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.01,delta_loss,50,25,0.5,1.0217297537286276,0.9991103204833964,1.0448612813340572,False,False,9.738759267641228e-07,-1.0556677013047361e-07,2.0533186236587195e-06
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.01,update_grad_cosine,50,24,0.48,1.011486492555004,0.9861730843830989,1.0374496534360678,False,False,0.005700904405266532,-0.010038119753223211,0.021439928563756275
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.03,update_grad_inner,50,29,0.58,1.0113214063907598,0.988653175488551,1.0345093834536805,False,False,8.032546921812704e-07,-3.1403478968950774e-06,4.746857281257618e-06
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.03,delta_loss,50,33,0.66,1.0181985615702591,0.995105059784078,1.0418279965420918,False,False,1.7939333002203738e-06,-2.289680367642102e-06,5.877546968082849e-06
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.03,update_grad_cosine,50,29,0.58,1.0229377309045415,1.0021357337695713,1.0441715289126088,True,False,0.014034318278299174,0.0012538818123759028,0.026814754744222444
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.1,update_grad_inner,50,28,0.56,1.017494121494233,0.9953237879822053,1.040158287961897,False,False,-1.4467340802595104e-06,-2.8139827934192026e-05,2.5246359773673007e-05
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.1,delta_loss,50,32,0.64,1.0281025119426443,1.004346155809528,1.0524207903308107,True,False,1.7106869727090413e-06,-2.737010940901526e-05,3.0791483354433346e-05
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.1,update_grad_cosine,50,43,0.86,1.0787307808301831,1.056734486078209,1.1011849360846675,True,False,0.04903890627140835,0.03610240571219221,0.06197540683062448
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.3,update_grad_inner,50,25,0.5,0.987382303741114,0.9432319424325559,1.0335992345921,False,False,-0.0035179850201221873,-0.005549960825563152,-0.0014860092146812228
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.3,delta_loss,50,23,0.46,0.9750919696924611,0.9277834881038906,1.0248127516279477,False,False,-0.004527351358458773,-0.006852165346686355,-0.0022025373702311904
target_setting,SmallMLPDigits,Small MLP digits hidden=16,0.3,update_grad_cosine,50,48,0.96,1.185432284179183,1.1584271384347957,1.2130669713703124,True,False,0.10852709162335016,0.09413943451793363,0.12291474872876668
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.001,update_grad_inner,50,0,0.0,0.7292146742135552,0.7191250304229146,0.7394458801909023,False,True,-5.152126603697561e-06,-5.435233470852307e-06,-4.869019736542814e-06
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.001,delta_loss,50,0,0.0,0.7291002523157468,0.718934692609545,0.7394095505356171,False,True,-5.15493380017773e-06,-5.439850758090902e-06,-4.870016842264557e-06
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.001,update_grad_cosine,50,0,0.0,0.7293904121807823,0.7195069499957804,0.7394096379254871,False,True,-0.16671809457076484,-0.1748077513340963,-0.15862843780743338
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.003,update_grad_inner,50,0,0.0,0.726540219010256,0.7164436992239306,0.7367790245224606,False,True,-1.5679413475775638e-05,-1.654377130891834e-05,-1.4815055642632937e-05
target_setting,SmallMLPDigits,Small MLP digits hidden=64,0.003,delta_loss,50,0,0.0,0.726639608618946,0.7165892071091898,0.7368309703462234,False,True,-1.566394878436128e-05,-1.6522420152898877e-05,-1.4805477415823681e-05
