problem_family,base_setting,setting,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,3,2.9085179443317447e-06,7.02875798204352e-07,0.00014500140566827487,0.00014800737326878854,0.9852994612513589,0.9948947822673699,0.707553117187926,0.28994115634110035,2.5172418399131287e-06,6.256402487812131e-07,0.24166115240036565,-2.205642146127393e-06,False,0.24854197116110394,-1.8916015911319156e-06,False,0.4097800565043543,-0.41761196084682567,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,4,3.832858658573443e-06,8.816892075582598e-07,0.00014209288772394312,0.0001473044974705842,0.9759801946148128,0.9926067852017485,0.7276423213637976,0.3036253693722482,3.3704602505236084e-06,7.91210884978134e-07,0.2300343649735357,-2.951169451015183e-06,False,0.2347486177459644,-2.5792493655454744e-06,False,0.41727282822578615,-0.4240169519915494,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,5,4.775167307614778e-06,1.0891413618191307e-06,0.00013826002906536968,0.00014642280826302593,0.9636062905633038,0.9897398994686832,0.7320290957930023,0.3152380437143555,4.276252432649017e-06,9.851632751064758e-07,0.22808444011633233,-3.686025945795647e-06,False,0.23038005604739173,-3.2910891575425416e-06,False,0.4306359481146855,-0.41679105207864686,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,6,5.775173338816111e-06,1.3239423706004052e-06,0.0001334848617577549,0.0001453336669012068,0.9479690088780376,0.9861953346360461,0.7331228014379055,0.3251784137654356,5.242831636594921e-06,1.205339561569127e-06,0.22924720920529262,-4.451230968215706e-06,False,0.2299023972381388,-4.037492075025794e-06,False,0.4435524486861534,-0.40794438767246993,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,7,6.884125281882928e-06,1.5943680301260942e-06,0.0001277096884189388,0.0001440097245306064,0.9286691242535389,0.9818806688684525,0.7398005476251238,0.3335628367443094,6.325296215510966e-06,1.4601380353511352e-06,0.23160067035996865,-5.289757251756834e-06,False,0.23084105243491485,-4.865158180159831e-06,False,0.4508821165584408,-0.4062377108808144,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,8,8.027361110514764e-06,1.8995346678028736e-06,0.00012082556313705586,0.0001424153565004803,0.9050571101200052,0.9766674978993621,0.7471359885063121,0.34065780373574384,7.4826007472795035e-06,1.7491697903569583e-06,0.23663251741780228,-6.1278264427118905e-06,False,0.23376495010680812,-5.733430956922545e-06,False,0.4559515389116687,-0.4064781847705683,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,9,9.063715374463407e-06,2.2350801758693427e-06,0.0001127982020265411,0.00014051582183267742,0.8766125695914356,0.9704246327098001,0.7498512399950104,0.34673627266499546,8.606365115712006e-06,2.068189884596506e-06,0.2465964655252278,-6.828635198594064e-06,False,0.24030933579854338,-6.5381752311155e-06,False,0.4624067470599938,-0.4031149673300149,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,0,8.876170218234257e-07,3.951812930897379e-07,0.00016144123210250178,0.00016144123210250178,1.0001224102346165,1.0001224102346165,0.4779697499567269,0.23818364089760674,7.905879748872972e-07,3.9396870267536894e-07,0.44521599222817926,-4.924357287336878e-07,False,0.49832367198796745,-3.9661927221192825e-07,False,0.49832367198796734,-0.23978610905912018,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,1,1.5367437290243638e-06,4.54459711323363e-07,0.00016055361508067836,0.00016104605080941205,0.997607263025392,0.9989239784304089,0.6259880961411193,0.24025896966498753,1.308768550645906e-06,4.1701165953572656e-07,0.2957290163219907,-1.0822840177010008e-06,False,0.3186290343926145,-8.917568911101794e-07,False,0.38380756941874,-0.3857291264761318,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,3,2,2.4075346159556507e-06,5.601958372445412e-07,0.000159016871351654,0.00016059159109808868,0.9930505880465219,0.9975750877843108,0.6951716215055094,0.24629450834895297,1.9640739247342973e-06,5.016396534876581e-07,0.23268443723795684,-1.8473387787111095e-06,False,0.25540772532557326,-1.4624342712466391e-06,False,0.35429309932928704,-0.44887711315655643,False
