problem_family,setting,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,nrG_std,stA_std,condition_score_std,mean_grad_rank_fraction_std,distance_to_MatrixFactorizationInput,distance_to_MatrixSensing,distance_to_SmallMLPDigits,inside_global_feature_fraction,nearest_current_family_distance,second_nearest_current_family_distance,bridge_score
MatrixFactorizationInput,scan MF d=60 r=10 factors=10 kappa=1e+01 input_mult=2,60,10,10.0,10,2,2.0,64,1024,0.0003578135782629696,0.9999806166238082,4.77282557266541,6.868581718337452,0.8322207524016422,0.47728255726654106,0.4812503613889652,0.7819947291836765,0.04745774042369299,0.04812503613889655,1.0271587440768382,3.1974810038627868,2.8352002326115633,1.0,1.0271587440768382,2.8352002326115633,0.2607425790958128
MatrixFactorizationInput,scan MF d=40 r=10 factors=10 kappa=1e+01 input_mult=10,40,10,10.0,10,10,2.0,64,1024,0.0007795390297493508,0.9997584338879921,4.610294193688625,7.006179688787401,0.8233514851510494,0.4610294193688625,0.37674614397383455,0.3837550005516388,0.11828256914888212,0.03767461439738349,0.9411747950287315,3.2316496881277788,2.8353618999568058,1.0,0.9411747950287315,2.8353618999568058,0.2607315883310157
SmallMLPDigits,scan MLP hidden=32 samples=1024,64,10,1.0,10,10,2.0,32,1024,2.302707825184982,0.9189453125,7.279174930503248,1.4024530901140644,5.198056886446531,0.4577498578757657,0.39234316856979573,0.058394428437827384,0.4793006762479768,0.014522889904976232,2.8372155866252227,4.260504943324679,0.36753359711012434,1.0,0.36753359711012434,2.8372155866252227,0.260605633805289
MatrixFactorizationInput,scan MF d=60 r=10 factors=10 kappa=1e+01 input_mult=10,60,10,10.0,10,10,2.0,64,1024,0.00035530616473316814,0.9999806166238082,5.061448706620404,8.43141285241771,0.8513480531496428,0.5061448706620403,0.4040781068295297,0.5174655120656643,0.05344799256051324,0.04040781068295304,1.1807497832502072,3.1328693038783855,2.8398357911863026,1.0,1.1807497832502072,2.8398357911863026,0.26042780326578857
MatrixSensing,scan MS d=40 r=5 kappa=1e+01 measurement_mult=2,40,5,10.0,10,10,2.0,64,1024,0.020364898697085774,1.0607811006801795,27.143161450601777,180.87784289922934,0.1500630442432547,0.6785790362650443,0.12026006657099764,0.33356539138332186,0.00040222184010566475,0.003006501664274967,2.8473161544800982,1.1832430220194528,3.8594909257442707,1.0,1.1832430220194528,2.8473161544800982,0.25992145169445624
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=10,20,10,10.0,2,10,2.0,64,1024,0.00316619731067135,0.9997543047665763,5.066905755191488,8.068569401736012,0.8326231098604481,0.506690575519149,0.20133518774205214,0.2158729946933641,0.04707541317062824,0.020133518774205213,1.181745095618907,3.1323251301488177,2.8506562059272578,1.0,1.181745095618907,2.8506562059272578,0.2596959963501065
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=2,20,5,10.0,5,2,2.0,64,1024,0.002214039022925603,1.0003145365857973,2.545163046362081,3.6380741003916763,0.8477244088021653,0.5090326092724161,0.1929361789989471,0.1182782684433554,0.12187539749984744,0.03858723579978942,1.1789813599251828,3.247568943250709,2.855996927410699,1.0,1.1789813599251828,2.855996927410699,0.2593363062328734
MatrixFactorizationInput,scan MF d=60 r=10 factors=5 kappa=1e+01 input_mult=2,60,10,10.0,5,2,2.0,64,1024,0.00035831621606238875,1.0007353882162409,4.57992368353437,8.096621048575551,0.7792145036796637,0.45799236835343704,0.5195960915105493,0.4347708874888001,0.07872866216564262,0.05195960915105491,0.9204932605067113,3.2301600306708607,2.8598136697118735,1.0,0.9204932605067113,2.8598136697118735,0.259079863840849
MatrixSensing,scan MS d=40 r=10 kappa=1e+01 measurement_mult=1,40,10,10.0,10,10,1.0,64,1024,0.03330521440992229,1.0290818822442003,27.275929906187795,180.87784289922934,0.1507977222856113,0.6818982476546949,0.304863937002538,0.33356539138332186,0.0016896430960443227,0.007621598425063466,2.864037413286825,1.178754652010746,3.867269566961424,1.0,1.178754652010746,2.864037413286825,0.2587966660367765
MatrixFactorizationInput,scan MF d=20 r=5 factors=10 kappa=1e+01 input_mult=10,20,5,10.0,10,10,2.0,64,1024,0.0018745626721239689,0.9997238438472934,2.3679934031346463,3.653469767438734,0.7941336656788064,0.47359868062692917,0.34203171762664747,0.1841945798010499,0.17234482292315656,0.06840634352532944,0.9876243323661564,3.306977701988288,2.8674865336093265,1.0,0.9876243323661564,2.8674865336093265,0.25856586475732374
