problem_family,setting,seed,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,min_grad_rank_fraction,max_grad_rank_fraction
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=2,1,20,10,1.0,2,2,2.0,64,1024,0.013536150686843534,0.9999174625464613,6.448285857458556,5.205946817477111,1.4448802906709117,0.6448285857458556,0.5745384968007013,0.7151186746910099
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=2,2,20,10,1.0,2,2,2.0,64,1024,0.012392014455187393,0.9998146887105556,6.745886966398317,5.905911384657038,1.2510487185904482,0.6745886966398318,0.6253253236648957,0.7238520696147679
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=10,0,20,10,1.0,2,10,2.0,64,1024,0.012769955407142434,1.0000117522685383,7.312794802963749,8.051800604685738,1.119877673430246,0.7312794802963749,0.6485748581363027,0.8139841024564471
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=10,1,20,10,1.0,2,10,2.0,64,1024,0.013072546211167227,0.9999174625464613,7.503936932367161,8.292337772324988,1.2042729815116873,0.7503936932367161,0.6699491283206411,0.830838258152791
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+00 input_mult=10,2,20,10,1.0,2,10,2.0,64,1024,0.01258289266061475,0.9998146887105556,7.3620110503630585,7.861569828197311,1.1742212296746888,0.7362011050363058,0.6472910309188917,0.8251111791537198
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=2,0,20,10,10.0,2,2,2.0,64,1024,0.0025454405811529586,0.9999843906928976,5.251097842512419,5.853156935917507,1.003654426685334,0.5251097842512419,0.4988033199537861,0.5514162485486978
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=2,1,20,10,10.0,2,2,2.0,64,1024,0.0032291475325101886,0.9998005871107275,4.68075494596833,5.205946817477111,1.0802608840502586,0.46807549459683295,0.44834624765801134,0.4878047415356546
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=2,2,20,10,10.0,2,2,2.0,64,1024,0.0031154980441864817,0.9994779364961038,4.618889034876846,5.905911384657038,0.8712199989711653,0.46188890348768463,0.45147794033485356,0.47229986664051565
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=10,0,20,10,10.0,2,10,2.0,64,1024,0.003124940708659627,0.9999843906928976,5.153736324488181,8.051800604685738,0.8115375623614092,0.5153736324488181,0.4855841725219632,0.545163092375673
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=10,1,20,10,10.0,2,10,2.0,64,1024,0.0031410505273851614,0.9998005871107275,5.210255555609481,8.292337772324988,0.8865553326752033,0.5210255555609482,0.5198929808876765,0.5221581302342198
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+01 input_mult=10,2,20,10,10.0,2,10,2.0,64,1024,0.003232600695969261,0.9994779364961038,4.836725385476804,7.861569828197311,0.7997764345447317,0.48367253854768044,0.4585902522905461,0.5087548248048147
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+02 input_mult=2,0,20,10,100.0,2,2,2.0,64,1024,0.0015453542228829641,0.9998385220061129,3.565381248194983,5.853156935917507,0.6989656751775712,0.3565381248194983,0.3486091967041165,0.3644670529348801
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+02 input_mult=2,1,20,10,100.0,2,2,2.0,64,1024,0.0018193454038278292,0.9997834511223302,3.655035640334032,5.205946817477111,0.8631288633605145,0.3655035640334032,0.36140591830488705,0.36960120976191935
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+02 input_mult=2,2,20,10,100.0,2,2,2.0,64,1024,0.001935282664914805,0.9993642429115189,3.028509597042696,5.905911384657038,0.5746063117591058,0.30285095970426956,0.301388860191182,0.30431305921735713
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+02 input_mult=10,0,20,10,100.0,2,10,2.0,64,1024,0.0019390299474432101,0.9998385220061129,3.4835918725459942,8.051800604685738,0.5651534702860738,0.34835918725459947,0.34727047524523075,0.34944789926396813
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+02 input_mult=10,1,20,10,100.0,2,10,2.0,64,1024,0.0019453663657826798,0.9997834511223302,3.5647460712855508,8.292337772324988,0.6230221070794973,0.35647460712855505,0.33937252477364477,0.3735766894834654
MatrixFactorizationInput,scan MF d=20 r=10 factors=2 kappa=1e+02 input_mult=10,2,20,10,100.0,2,10,2.0,64,1024,0.0020616889311938493,0.9993642429115189,3.1266744414186887,7.861569828197311,0.5280254603821338,0.31266744414186887,0.3094108541878013,0.3159240340959364
