problem_family,base_setting,seed,source_algo,checkpoint_step,remaining_steps,continuation_variant,continuation_algo,loaded_source_optimizer_state,loss_before,loss_after,total_decrease,recovery_before,recovery_after
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,1,4,switched_fresh,Adam,False,0.00958917469011533,0.0030047305010054088,0.006584444189109921,1.1620544632183858,1.2087118928153104
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,3,2,own_preserved,Muon,True,0.0048236221505299015,0.0018982819647289503,0.0029253401858009512,1.15096099134811,1.154853930499572
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,3,2,own_fresh,Muon,False,0.0048236221505299015,0.0018982819647289503,0.0029253401858009512,1.15096099134811,1.154853930499572
MatrixSensing,Matrix sensing kappa=1e+02,1,Muon,3,2,switched_fresh,Adam,False,0.0048236221505299015,0.0033339513040757255,0.001489670846454176,1.15096099134811,1.2164598647829659
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,0,5,own_preserved,Adam,True,0.012096481701537817,0.0023022165557087183,0.009794265145829099,1.145254681706576,1.164370536564975
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,0,5,own_fresh,Adam,False,0.012096481701537817,0.0023022165557087183,0.009794265145829099,1.145254681706576,1.164370536564975
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,0,5,switched_fresh,Muon,False,0.012096481701537817,0.0015782313529622656,0.01051825034857555,1.145254681706576,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,1,4,own_preserved,Adam,True,0.002717478222609951,0.0023022165557087183,0.0004152616669012327,1.123089961483387,1.164370536564975
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,1,4,own_fresh,Adam,False,0.002717478222609951,0.003538642193970459,-0.0008211639713605078,1.123089961483387,1.160413171775418
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,1,4,switched_fresh,Muon,False,0.002717478222609951,3.957032854708524e-05,0.0026779078940628656,1.123089961483387,1.1077406741980294
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,3,2,own_preserved,Adam,True,0.00496028873355911,0.0023022165557087183,0.002658072177850392,1.1962588537361494,1.164370536564975
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,3,2,own_fresh,Adam,False,0.00496028873355911,0.004102429519095245,0.000857859214463865,1.1962588537361494,1.1686142797333718
MatrixSensing,Matrix sensing kappa=1e+02,2,Adam,3,2,switched_fresh,Muon,False,0.00496028873355911,0.001736669784719257,0.003223618948839853,1.1962588537361494,1.160066374830671
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,0,5,own_preserved,Muon,True,0.012096481701537817,0.0015782313529622656,0.01051825034857555,1.145254681706576,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,0,5,own_fresh,Muon,False,0.012096481701537817,0.0015782313529622656,0.01051825034857555,1.145254681706576,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,0,5,switched_fresh,Adam,False,0.012096481701537817,0.0023022165557087183,0.009794265145829099,1.145254681706576,1.164370536564975
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,1,4,own_preserved,Muon,True,0.008982577552108744,0.0015782313529622656,0.007404346199146479,1.1327184159007393,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,1,4,own_fresh,Muon,False,0.008982577552108744,0.0015782313529622656,0.007404346199146479,1.1327184159007393,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,1,4,switched_fresh,Adam,False,0.008982577552108744,0.002523989364118837,0.006458588187989908,1.1327184159007393,1.1695428905719127
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,3,2,own_preserved,Muon,True,0.0043467457258584054,0.0015782313529622656,0.00276851437289614,1.1212805234660213,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,3,2,own_fresh,Muon,False,0.0043467457258584054,0.0015782313529622656,0.00276851437289614,1.1212805234660213,1.1247044918852915
MatrixSensing,Matrix sensing kappa=1e+02,2,Muon,3,2,switched_fresh,Adam,False,0.0043467457258584054,0.0033104313530372123,0.0010363143728211932,1.1212805234660213,1.1802217007655726
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,0,5,own_preserved,Adam,True,0.012269097258227316,0.0022997674764139203,0.009969329781813396,1.1338721945050623,1.1451868083355154
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,0,5,own_fresh,Adam,False,0.012269097258227316,0.0022997674764139203,0.009969329781813396,1.1338721945050623,1.1451868083355154
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,0,5,switched_fresh,Muon,False,0.012269097258227316,0.0015853862830192984,0.010683710975208018,1.1338721945050623,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,1,4,own_preserved,Adam,True,0.0027233156159029623,0.0022997674764139203,0.000423548139489042,1.0993702788675208,1.1451868083355154
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,1,4,own_fresh,Adam,False,0.0027233156159029623,0.00362929401663629,-0.0009059784007333276,1.0993702788675208,1.1516202592110516
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,1,4,switched_fresh,Muon,False,0.0027233156159029623,4.9797338159495615e-05,0.002673518277743467,1.0993702788675208,1.0847435559936929
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,3,2,own_preserved,Adam,True,0.005061654318795605,0.0022997674764139203,0.0027618868423816847,1.1776172229434838,1.1451868083355154
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,3,2,own_fresh,Adam,False,0.005061654318795605,0.004186313846783629,0.000875340472011976,1.1776172229434838,1.1578191768015025
MatrixSensing,Matrix sensing kappa=1e+02,3,Adam,3,2,switched_fresh,Muon,False,0.005061654318795605,0.0017938138332463467,0.003267840485549258,1.1776172229434838,1.1407663367818586
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,0,5,own_preserved,Muon,True,0.012269097258227316,0.0015853862830192984,0.010683710975208018,1.1338721945050623,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,0,5,own_fresh,Muon,False,0.012269097258227316,0.0015853862830192984,0.010683710975208018,1.1338721945050623,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,0,5,switched_fresh,Adam,False,0.012269097258227316,0.0022997674764139203,0.009969329781813396,1.1338721945050623,1.1451868083355154
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,1,4,own_preserved,Muon,True,0.00908937305687279,0.0015853862830192984,0.007503986773853492,1.1215482233441592,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,1,4,own_fresh,Muon,False,0.00908937305687279,0.0015853862830192984,0.007503986773853492,1.1215482233441592,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,1,4,switched_fresh,Adam,False,0.00908937305687279,0.0026587179860771476,0.006430655070795643,1.1215482233441592,1.1526364938737854
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,3,2,own_preserved,Muon,True,0.004386963691854556,0.0015853862830192984,0.0028015774088352577,1.1097152118532658,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,3,2,own_fresh,Muon,False,0.004386963691854556,0.0015853862830192984,0.0028015774088352577,1.1097152118532658,1.1125215584009749
MatrixSensing,Matrix sensing kappa=1e+02,3,Muon,3,2,switched_fresh,Adam,False,0.004386963691854556,0.003262489804929288,0.001124473886925268,1.1097152118532658,1.1609407835214733
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,0,5,own_preserved,Adam,True,0.012768712634677852,0.0024029034130439433,0.01036580922163391,1.1560304324896953,1.1912968566042539
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,0,5,own_fresh,Adam,False,0.012768712634677852,0.0024029034130439433,0.01036580922163391,1.1560304324896953,1.1912968566042539
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,0,5,switched_fresh,Muon,False,0.012768712634677852,0.001821901419614771,0.010946811215063081,1.1560304324896953,1.1367089346079782
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,1,4,own_preserved,Adam,True,0.0026582327215254374,0.0024029034130439433,0.00025532930848149414,1.130421833217994,1.1912968566042539
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,1,4,own_fresh,Adam,False,0.0026582327215254374,0.0033853402733332026,-0.0007271075518077651,1.130421833217994,1.183064720790791
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,1,4,switched_fresh,Muon,False,0.0026582327215254374,4.3837328349578417e-05,0.002614395393175859,1.130421833217994,1.1182743114813056
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,2,own_preserved,Adam,True,0.005232172796075546,0.0024029034130439433,0.0028292693830316027,1.2226775131050143,1.1912968566042539
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,2,own_fresh,Adam,False,0.005232172796075546,0.0042773112577328696,0.0009548615383426764,1.2226775131050143,1.1883268176100807
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,2,switched_fresh,Muon,False,0.005232172796075546,0.0019274678857451857,0.00330470491033036,1.2226775131050143,1.184306974188616
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,0,5,own_preserved,Muon,True,0.012768712634677852,0.001821901419614771,0.010946811215063081,1.1560304324896953,1.1367089346079782
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,0,5,own_fresh,Muon,False,0.012768712634677852,0.001821901419614771,0.010946811215063081,1.1560304324896953,1.1367089346079782
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,0,5,switched_fresh,Adam,False,0.012768712634677852,0.0024029034130439433,0.01036580922163391,1.1560304324896953,1.1912968566042539
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,1,4,own_preserved,Muon,True,0.009564645111617722,0.001821901419614771,0.007742743692002951,1.1440462050199978,1.1367089346079782
