group_type,problem_family,base_setting,source_algo,comparison,metric,n_pairs,numerator_better_pairs,mean_signed_ratio,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_ratio,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta,delta_ci95_low,delta_ci95_high
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Muon,own_fresh_over_own_preserved,loss_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+05,Muon,own_fresh_over_own_preserved,recovery_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Adam,switched_fresh_over_own_fresh,total_decrease,15,0,0.1052225055501075,0.09088279828451575,0.11956221281569925,0.10163557847946462,0.08731681874131596,0.11830241827131105,15,-0.15108565761208598,-0.1713329072970371,-0.13083840792713486
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Adam,switched_fresh_over_own_fresh,loss_after,15,0,1.0713307211536012,1.0611999554414056,1.0814614868657968,1.0711553520983566,1.0600895477277903,1.0823366674902606,15,0.15108565761208598,0.13083840792713486,0.1713329072970371
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Adam,switched_fresh_over_own_fresh,recovery_after,15,11,0.8243801275486101,0.6941839084646981,0.9545763466325221,0.7810994436499621,0.6408576570417638,0.9520309762492546,15,-0.10891927083333333,-0.18730683045762572,-0.03053171120904094
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Adam,own_fresh_over_own_preserved,total_decrease,15,9,1.0621201034003893,1.0249233970503773,1.0993168097504014,1.0597634363362525,1.020085824119942,1.1009843627266878,15,0.009565959696104393,0.003896160329805086,0.015235759062403702
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Adam,own_fresh_over_own_preserved,loss_after,15,9,0.9955025026693654,0.9928289839269389,0.9981760214117918,0.9954894122256344,0.9925669209146336,0.9984205084531227,15,-0.009565959696104393,-0.015235759062403702,-0.003896160329805086
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Adam,own_fresh_over_own_preserved,recovery_after,15,7,0.9960916324500312,0.9709274050697755,1.021255859830287,0.9949577845437537,0.9682373758630456,1.0224155952891443,15,-0.0027994791666666667,-0.017984834551869645,0.012385876218536313
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Muon,switched_fresh_over_own_fresh,total_decrease,15,15,11.876904091920645,10.872895040435484,12.880913143405806,11.708702807871418,10.601710239034169,12.931283571427386,15,0.13895772601823905,0.1235972117872152,0.1543182402492629
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Muon,switched_fresh_over_own_fresh,loss_after,15,15,0.9392920914804248,0.9325796398871888,0.9460045430736608,0.9392046208139465,0.9318843793988768,0.9465823650003465,15,-0.13895772601823905,-0.1543182402492629,-0.1235972117872152
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Muon,switched_fresh_over_own_fresh,recovery_after,15,0,1.8890934644236155,1.6798716996417786,2.0983152292054523,1.849204377385,1.6447270449506206,2.0791029367687632,15,0.26634114583333335,0.22769637015008598,0.3049859215165807
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Muon,own_fresh_over_own_preserved,total_decrease,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Muon,own_fresh_over_own_preserved,loss_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=16,Muon,own_fresh_over_own_preserved,recovery_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Adam,switched_fresh_over_own_fresh,total_decrease,15,0,0.054843623790541626,0.04563581369288976,0.0640514338881935,0.052051053906168224,0.04319460945825298,0.06272338717083076,15,-0.5242983917815373,-0.5511569415385141,-0.49743984202456043
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Adam,switched_fresh_over_own_fresh,loss_after,15,0,1.3046163067819319,1.285072964724863,1.3241596488390006,1.3040815037818243,1.2828347913364333,1.3256801109472416,15,0.5242983917815373,0.49743984202456043,0.5511569415385141
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Adam,switched_fresh_over_own_fresh,recovery_after,15,5,1.2328981906756211,0.9790655968596915,1.4867307844915507,1.123747282923547,0.8665053094866715,1.4573574357278407,15,0.0740234375,-0.00995409347113424,0.15800096847113423
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Adam,own_fresh_over_own_preserved,total_decrease,15,10,1.0401598581871927,1.0209709361340977,1.0593487802402877,1.0395246630864743,1.018979168910563,1.0604844123755532,15,0.020373288296058157,0.011298360781180081,0.029448215810936235
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Adam,own_fresh_over_own_preserved,loss_after,15,10,0.9883683807680053,0.9832254115927912,0.9935113499432193,0.9883195255211772,0.9826999332779728,0.9939712535322904,15,-0.020373288296058157,-0.029448215810936235,-0.011298360781180081
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Adam,own_fresh_over_own_preserved,recovery_after,15,5,0.9919311730078113,0.9493864828487537,1.034475863166869,0.9885565589865529,0.9426386009462644,1.0367112797357663,15,-0.0009114583333333333,-0.014827836267822544,0.013004919601155877
setting_source_all_checkpoints,SmallMLPDigits,Small MLP digits hidden=64,Muon,switched_fresh_over_own_fresh,total_decrease,15,15,26.965115852326008,25.63527323560765,28.294958469044367,26.845570201072732,25.431876472828993,28.337847590235516,15,0.46345301406484596,0.4191422794839569,0.507763748645735
