problem_family,setting,kappa,seed,comparison,final_loss_ratio,final_loss_delta,total_decrease_ratio,total_decrease_delta,mean_delta_loss_ratio,mean_delta_loss_delta,mean_update_grad_inner_ratio,mean_update_grad_inner_delta,mean_update_grad_cosine_ratio,mean_update_grad_cosine_delta,mean_nrUpdate_ratio,mean_nrUpdate_delta,mean_stUpdate_ratio,mean_stUpdate_delta
MatrixSensing,Matrix sensing kappa=1e+02,100.0,0,PolarMuon/GD,1.0239231095186359,0.00026340203485569584,0.8337853717616095,-0.00026340203485569584,0.8337853717616095,-5.268040697113918e-05,0.833086960481169,-5.330223215647137e-05,0.8288897245525993,-0.17111027544740076,1.4518028051417093,18.672073240591757,8.285866489292156,52.758753706985324
MatrixSensing,Matrix sensing kappa=1e+02,100.0,0,FreshAdamSign/GD,1.0282799366601272,0.00031137226772568957,0.8035147080313038,-0.00031137226772568957,0.8035147080313038,-6.227445354513794e-05,0.8026142881219889,-6.303341589861312e-05,0.7969751927024238,-0.20302480729757633,1.0390326196391033,1.6131372456727036,1.422202466060235,3.0572720422602533
MatrixSensing,Matrix sensing kappa=1e+02,100.0,0,PolarMuon/FreshAdamSign,0.9957629950890199,-4.797023286999373e-05,1.0376728184658524,4.797023286999373e-05,1.0376728184658524,9.594046573998757e-06,1.03796677035302,9.731183742141747e-06,1.040044573711207,0.031914531850175565,1.3972639334903434,17.058935994919054,5.826080805671463,49.70148166472507
MatrixSensing,Matrix sensing kappa=1e+02,100.0,1,PolarMuon/GD,1.0235573387817491,0.00026411640470514787,0.8291561218009358,-0.00026411640470514787,0.8291561218009358,-5.2823280941029574e-05,0.8283961457105287,-5.344524887757057e-05,0.8235874326856985,-0.17641256731430155,1.470493607949236,19.197374490000975,8.314560119334093,52.78374332028922
MatrixSensing,Matrix sensing kappa=1e+02,100.0,1,FreshAdamSign/GD,1.0269938040803546,0.00030264481693245866,0.8042339918290609,-0.00030264481693245866,0.8042339918290609,-6.0528963386491743e-05,0.8034082075961042,-6.122762985608852e-05,0.7981375236969238,-0.2018624763030762,1.0441963764797433,1.8033281984018927,1.6117580706380537,4.414603263608708
MatrixSensing,Matrix sensing kappa=1e+02,100.0,1,PolarMuon/FreshAdamSign,0.996653859755578,-3.852841222731079e-05,1.0309886553230545,3.852841222731079e-05,1.0309886553230545,7.70568244546217e-06,1.0311024182702733,7.782380978517953e-06,1.0318866213317377,0.02544990898877464,1.4082538888965035,17.394046291599082,5.158689924253069,48.369140056680514
MatrixSensing,Matrix sensing kappa=1e+02,100.0,2,PolarMuon/GD,1.02585488047044,0.00027242988664663223,0.8253203656701598,-0.00027242988664663223,0.8253203656701598,-5.448597732932647e-05,0.8244870423133662,-5.51671187979783e-05,0.8198433643791703,-0.18015663562082962,1.4837006939964792,19.560576979724466,7.44095706311731,51.93652113685698
MatrixSensing,Matrix sensing kappa=1e+02,100.0,2,FreshAdamSign/GD,1.029880763817063,0.00031485015407069043,0.798120865303227,-0.00031485015407069043,0.798120865303227,-6.297003081413811e-05,0.7972117852418689,-6.374025987509026e-05,0.79170106792227,-0.20829893207772987,1.0483005956009135,1.9532482176365988,1.4933134184856365,3.977822322863666
MatrixSensing,Matrix sensing kappa=1e+02,100.0,2,PolarMuon/FreshAdamSign,0.9960909228640197,-4.24202674240582e-05,1.0340794252466998,4.24202674240582e-05,1.0340794252466998,8.48405348481164e-06,1.034213313922877,8.573141077111962e-06,1.0355466192950282,0.02814229645690025,1.4153389783642953,17.607328762087867,4.982850198093818,47.958698813993315
MatrixSensing,Matrix sensing kappa=1e+02,100.0,3,PolarMuon/GD,1.0241595270491222,0.0002588946101835885,0.8332993473190139,-0.0002588946101835885,0.8332993473190139,-5.177892203671769e-05,0.8326058947566922,-5.2388912905614005e-05,0.8282478541362368,-0.17175214586376308,1.4537743953572424,18.728121645548768,7.842917680380564,52.34978582650506
MatrixSensing,Matrix sensing kappa=1e+02,100.0,3,FreshAdamSign/GD,1.0279073987217788,0.00029905697651376115,0.8074390458020955,-0.00029905697651376115,0.8074390458020955,-5.981139530275223e-05,0.8065218665685971,-6.0552365728444666e-05,0.8013896112598421,-0.1986103887401578,1.0292044449152973,1.2053222979534226,1.3350537295673857,2.5632327908186836
MatrixSensing,Matrix sensing kappa=1e+02,100.0,3,PolarMuon/FreshAdamSign,0.9963538819962603,-4.016236633017263e-05,1.032027558800094,4.016236633017263e-05,1.032027558800094,8.032473266034537e-06,1.0323413775488461,8.16345282283066e-06,1.033514588283933,0.02685824287639471,1.4125224609546716,17.522799347595345,5.8746082698274655,49.78655303568638
MatrixSensing,Matrix sensing kappa=1e+02,100.0,4,PolarMuon/GD,1.0237143714858428,0.0002653694174282045,0.831882563658571,-0.0002653694174282045,0.8318825636585709,-5.3073883485640926e-05,0.8311391487276566,-5.3704550414115015e-05,0.8264846728574821,-0.17351532714251783,1.4598486523282825,18.899849032769772,8.252256539634319,52.72926141936684
MatrixSensing,Matrix sensing kappa=1e+02,100.0,4,FreshAdamSign/GD,1.0280361730649386,0.00031373139775602195,0.8012441719859248,-0.00031373139775602195,0.8012441719859247,-6.274627955120442e-05,0.800324209355518,-6.350494199422045e-05,0.7947911355381411,-0.20520886446185882,1.0343287046892,1.4109149452355823,1.5603354449624622,4.074052537784705
MatrixSensing,Matrix sensing kappa=1e+02,100.0,4,PolarMuon/FreshAdamSign,0.9957960607882009,-4.8361980327817425e-05,1.0382385204708664,4.8361980327817425e-05,1.0382385204708666,9.672396065563496e-06,1.038503070395625,9.80039158010544e-06,1.0398765611519833,0.03169353731934099,1.4113972141640843,17.48893408753419,5.288770800071678,48.65520888158214
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,0,PolarMuon/GD,1.0257107951189122,0.0002532826976004293,0.8310770742365682,-0.0002532826976004293,0.8310770742365683,-5.065653952008583e-05,0.8303207837460224,-5.1289813112292276e-05,0.8258419074893507,-0.1741580925106494,1.462423907766141,18.972224345230877,8.649329543066019,53.063046135396455
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,0,FreshAdamSign/GD,1.0302346132905893,0.0002978478253872936,0.8013550606758378,-0.0002978478253872936,0.8013550606758378,-5.9569565077458714e-05,0.8003932160125851,-6.0336173590854933e-05,0.7945540973023094,-0.2054459026976907,1.0353914307328675,1.4520316802093873,1.525117488034964,3.642715787994952
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,0,PolarMuon/FreshAdamSign,0.9956089437169773,-4.4565127786864306e-05,1.0370896934695386,4.4565127786864306e-05,1.0370896934695388,8.913025557372883e-06,1.037391081201976,9.046360478562657e-06,1.0393778224708305,0.0312878101870413,1.4124357845332105,17.52019266502149,5.671254582629065,49.4203303474015
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,1,PolarMuon/GD,1.0248334514741722,0.00025800585541166203,0.8278401997766864,-0.00025800585541166203,0.8278401997766864,-5.1601171082332406e-05,0.8270466703919401,-5.223326703537e-05,0.8221785437320694,-0.17782145626793056,1.4754091346309386,19.333313999707272,8.60320961834574,53.025858643260804
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,1,FreshAdamSign/GD,1.0281955134605907,0.0002929358239524872,0.804532448112678,-0.0002929358239524872,0.8045324481126779,-5.8587164790497464e-05,0.8036607179405639,-5.929600877059633e-05,0.7979431359017312,-0.20205686409826884,1.0355838965577284,1.4470791479800411,1.51812004954398,3.6134424652803325
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,1,PolarMuon/FreshAdamSign,0.996730133576344,-3.492996854082518e-05,1.0289705551574524,3.492996854082518e-05,1.0289705551574524,6.985993708165058e-06,1.0290992852198928,7.0627417352263344e-06,1.0303723495320887,0.024235407830338285,1.4247123188523743,17.88623485172723,5.667015346335761,49.412416177980475
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,2,PolarMuon/GD,1.026547397724214,0.0002557780098145328,0.8296368274723074,-0.0002557780098145328,0.8296368274723074,-5.1155601962906544e-05,0.8288741231637097,-5.17997774342699e-05,0.8241496044863867,-0.17585039551361326,1.4681365802259478,19.13186769669214,7.731586345882854,52.23962621436003
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,2,FreshAdamSign/GD,1.0308460209436752,0.0002971942459156496,0.8020511824770302,-0.0002971942459156496,0.8020511824770302,-5.943884918312991e-05,0.8010849620088936,-6.0211552377469296e-05,0.7952651495797758,-0.2047348504202242,1.0282899494900626,1.1561573986137788,1.4726207411343402,3.6677136100485814
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,2,PolarMuon/FreshAdamSign,0.9958300045475987,-4.1416236101116805e-05,1.034393871111919,4.1416236101116805e-05,1.034393871111919,8.283247220223366e-06,1.0346894055845572,8.411774943199398e-06,1.0363205340028716,0.028884454906610957,1.4277457257595572,17.97571029807836,5.250222362023311,48.57191260431145
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,3,PolarMuon/GD,1.0254957235725555,0.0002544216073732484,0.8307458705449594,-0.0002544216073732484,0.8307458705449593,-5.08843214746497e-05,0.8300312173207676,-5.150092265714465e-05,0.8255350026374988,-0.1744649973625011,1.4628410950177695,18.983925045343923,8.400244984787479,52.857351171464785
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,3,FreshAdamSign/GD,1.0291239819375453,0.00029062796655184367,0.8066595680222358,-0.00029062796655184367,0.8066595680222357,-5.812559331036876e-05,0.8057520296653267,-5.8857571012866164e-05,0.8005006777553872,-0.19949932224461264,1.0278048525060584,1.1404459144916501,1.3013606977189778,2.152513634528967
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,3,PolarMuon/FreshAdamSign,0.9964744205473098,-3.6206359178595285e-05,1.0298593154752733,3.6206359178595285e-05,1.0298593154752733,7.241271835719062e-06,1.0301323319849722,7.356648355721516e-06,1.0312733337744424,0.025034324882111547,1.4232673561045934,17.843479130852273,6.454970554675126,50.70483753693582
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,4,PolarMuon/GD,1.025646694784894,0.00025500630153995653,0.8287090342755596,-0.00025500630153995653,0.8287090342755595,-5.1001260307991317e-05,0.8278805159519378,-5.165200644058381e-05,0.8228438029000564,-0.17715619709994368,1.4725502387494886,19.254361297069977,8.878082944284937,53.24178424818332
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,4,FreshAdamSign/GD,1.030214996807323,0.0003004291450224364,0.7981979344357584,-0.0003004291450224364,0.7981979344357584,-6.008582900448727e-05,0.7972443377196068,-6.084573650620126e-05,0.7911140481891836,-0.20888595181081648,1.0412362744443657,1.6801983399649956,1.6150394071799083,4.156569009591134
MatrixSensing,Matrix sensing kappa=1e+05,100000.0,4,PolarMuon/FreshAdamSign,0.9955656809145794,-4.5422843482479866e-05,1.038224979699264,4.5422843482479866e-05,1.0382249796992638,9.084568696495952e-06,1.0384275896144475,9.193730065617449e-06,1.0401076871071882,0.031729754710872804,1.4142325569048049,17.57416295710498,5.497130846972552,49.085215238592184
SmallMLPDigits,Small MLP digits hidden=16,1.0,0,PolarMuon/GD,1.0000574613488877,0.0001322837877202332,0.7020287099593236,-0.0001322837877202332,0.6352843444268238,-2.5943807655393064e-05,0.6347421368798337,-2.586635416876471e-05,0.6537311349891746,-0.34626886501082543,2.262829992444438,7.254981574662329,6.466083878299565,10.989509532403579
