seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,warmup_steps
1,spectral,layer4.1.conv2.weight,512x512x3x3,11.78896908045955,511.99999946893854,10000
1,spectral,fc.weight,100x512,6.676533887920316,99.99999999482442,10000
2,frobenius,conv1.weight,64x3x3x3,5.686732023731608,5.68673914031102,10000
2,frobenius,layer1.0.conv1.weight,64x64x3x3,24.996179539109068,24.996035827544276,10000
2,frobenius,layer1.0.conv2.weight,64x64x3x3,29.38518707273262,29.385275720161214,10000
2,frobenius,layer1.1.conv1.weight,64x64x3x3,26.662837022499314,26.662846826244465,10000
2,frobenius,layer1.1.conv2.weight,64x64x3x3,30.65969828251379,30.65962039852045,10000
2,frobenius,layer2.0.conv1.weight,128x64x3x3,44.07453828180922,44.07440956152955,10000
2,frobenius,layer2.0.conv2.weight,128x128x3x3,55.92163882617279,55.921966028638224,10000
2,frobenius,layer2.0.downsample.0.weight,128x64x1x1,21.503165891143123,21.503113570358096,10000
2,frobenius,layer2.1.conv1.weight,128x128x3x3,50.032445739729695,50.031730725860704,10000
2,frobenius,layer2.1.conv2.weight,128x128x3x3,49.172526289235556,49.17248057596989,10000
2,frobenius,layer3.0.conv1.weight,256x128x3x3,76.14781713641979,76.14817279551258,10000
2,frobenius,layer3.0.conv2.weight,256x256x3x3,83.05028101891641,83.05098088465621,10000
2,frobenius,layer3.0.downsample.0.weight,256x128x1x1,31.85745371429706,31.85695952822024,10000
2,frobenius,layer3.1.conv1.weight,256x256x3x3,80.64338790258913,80.64325768662954,10000
2,frobenius,layer3.1.conv2.weight,256x256x3x3,54.025717455813876,54.02625865680876,10000
2,frobenius,layer4.0.conv1.weight,512x256x3x3,47.85373260686768,47.85351817032557,10000
2,frobenius,layer4.0.conv2.weight,512x512x3x3,42.277363126280044,42.27778853080316,10000
2,frobenius,layer4.0.downsample.0.weight,512x256x1x1,17.83042908128026,17.830187017638693,10000
2,frobenius,layer4.1.conv1.weight,512x512x3x3,26.10963216029932,26.110037556037827,10000
2,frobenius,layer4.1.conv2.weight,512x512x3x3,29.892705263310923,29.892791835332133,10000
2,frobenius,fc.weight,100x512,18.481541284789063,18.48148597561624,10000
2,spectral,conv1.weight,64x3x3x3,5.686732023731608,26.99999999989343,10000
2,spectral,layer1.0.conv1.weight,64x64x3x3,24.996179539109068,63.999999998079545,10000
2,spectral,layer1.0.conv2.weight,64x64x3x3,29.38518707273262,63.99999999826368,10000
2,spectral,layer1.1.conv1.weight,64x64x3x3,26.662837022499314,63.9999999983582,10000
2,spectral,layer1.1.conv2.weight,64x64x3x3,30.65969828251379,63.99999999809384,10000
2,spectral,layer2.0.conv1.weight,128x64x3x3,44.07453828180922,127.99999994688821,10000
2,spectral,layer2.0.conv2.weight,128x128x3x3,55.92163882617279,127.99999994910088,10000
2,spectral,layer2.0.downsample.0.weight,128x64x1x1,21.503165891143123,63.999999998550535,10000
2,spectral,layer2.1.conv1.weight,128x128x3x3,50.032445739729695,127.99999994617198,10000
2,spectral,layer2.1.conv2.weight,128x128x3x3,49.172526289235556,127.99999994336093,10000
2,spectral,layer3.0.conv1.weight,256x128x3x3,76.14781713641979,255.9999998984138,10000
2,spectral,layer3.0.conv2.weight,256x256x3x3,83.05028101891641,255.99999990244518,10000
2,spectral,layer3.0.downsample.0.weight,256x128x1x1,31.85745371429706,127.99999994825747,10000
2,spectral,layer3.1.conv1.weight,256x256x3x3,80.64338790258913,255.9999998999628,10000
2,spectral,layer3.1.conv2.weight,256x256x3x3,54.025717455813876,255.99999989790066,10000
2,spectral,layer4.0.conv1.weight,512x256x3x3,47.85373260686768,511.99999948773353,10000
2,spectral,layer4.0.conv2.weight,512x512x3x3,42.277363126280044,511.9999995008419,10000
2,spectral,layer4.0.downsample.0.weight,512x256x1x1,17.83042908128026,255.99999990206305,10000
2,spectral,layer4.1.conv1.weight,512x512x3x3,26.10963216029932,511.9999995170112,10000
2,spectral,layer4.1.conv2.weight,512x512x3x3,29.892705263310923,511.99999954160916,10000
2,spectral,fc.weight,100x512,18.481541284789063,99.99999999603136,10000
3,frobenius,conv1.weight,64x3x3x3,5.208649187729624,5.208650639888471,10000
3,frobenius,layer1.0.conv1.weight,64x64x3x3,22.521073725780173,22.52107597913423,10000
3,frobenius,layer1.0.conv2.weight,64x64x3x3,30.09153010965282,30.091315431543585,10000
3,frobenius,layer1.1.conv1.weight,64x64x3x3,26.470571909329248,26.470469296345986,10000
3,frobenius,layer1.1.conv2.weight,64x64x3x3,29.567845367723443,29.568005123734387,10000
3,frobenius,layer2.0.conv1.weight,128x64x3x3,35.51163565079989,35.5112511301608,10000
3,frobenius,layer2.0.conv2.weight,128x128x3x3,55.385570597477106,55.385970190846116,10000
3,frobenius,layer2.0.downsample.0.weight,128x64x1x1,20.181186260049316,20.181225191308183,10000
3,frobenius,layer2.1.conv1.weight,128x128x3x3,57.06640407880122,57.06639474836395,10000
3,frobenius,layer2.1.conv2.weight,128x128x3x3,41.33889075334501,41.33972073353365,10000
3,frobenius,layer3.0.conv1.weight,256x128x3x3,53.492212075821,53.49322324092932,10000
3,frobenius,layer3.0.conv2.weight,256x256x3x3,58.42099908239025,58.421476599578654,10000
3,frobenius,layer3.0.downsample.0.weight,256x128x1x1,21.91096845530445,21.91088101888471,10000
3,frobenius,layer3.1.conv1.weight,256x256x3x3,54.395127457560626,54.39543225415038,10000
3,frobenius,layer3.1.conv2.weight,256x256x3x3,37.56675229680794,37.567472539317215,10000
3,frobenius,layer4.0.conv1.weight,512x256x3x3,40.488888190741456,40.48977187286009,10000
3,frobenius,layer4.0.conv2.weight,512x512x3x3,38.392490525650814,38.39281620908029,10000
3,frobenius,layer4.0.downsample.0.weight,512x256x1x1,14.984488413532869,14.98446697630003,10000
3,frobenius,layer4.1.conv1.weight,512x512x3x3,24.576156203948283,24.575713497426136,10000
3,frobenius,layer4.1.conv2.weight,512x512x3x3,29.258156332481132,29.257257855219752,10000
3,frobenius,fc.weight,100x512,23.04374674060291,23.043723802598773,10000
3,spectral,conv1.weight,64x3x3x3,5.208649187729624,26.99999999986962,10000
3,spectral,layer1.0.conv1.weight,64x64x3x3,22.521073725780173,63.99999999840434,10000
3,spectral,layer1.0.conv2.weight,64x64x3x3,30.09153010965282,63.999999998515605,10000
3,spectral,layer1.1.conv1.weight,64x64x3x3,26.470571909329248,63.99999999792657,10000
3,spectral,layer1.1.conv2.weight,64x64x3x3,29.567845367723443,63.99999999807774,10000
3,spectral,layer2.0.conv1.weight,128x64x3x3,35.51163565079989,127.99999995088326,10000
3,spectral,layer2.0.conv2.weight,128x128x3x3,55.385570597477106,127.99999995005352,10000
3,spectral,layer2.0.downsample.0.weight,128x64x1x1,20.181186260049316,63.99999999796267,10000
3,spectral,layer2.1.conv1.weight,128x128x3x3,57.06640407880122,127.9999999533147,10000
3,spectral,layer2.1.conv2.weight,128x128x3x3,41.33889075334501,127.9999999502149,10000
3,spectral,layer3.0.conv1.weight,256x128x3x3,53.492212075821,255.99999990330502,10000
3,spectral,layer3.0.conv2.weight,256x256x3x3,58.42099908239025,255.9999999077891,10000
3,spectral,layer3.0.downsample.0.weight,256x128x1x1,21.91096845530445,127.9999999435671,10000
3,spectral,layer3.1.conv1.weight,256x256x3x3,54.395127457560626,255.99999991314823,10000
3,spectral,layer3.1.conv2.weight,256x256x3x3,37.56675229680794,255.99999991380275,10000
3,spectral,layer4.0.conv1.weight,512x256x3x3,40.488888190741456,511.9999994732424,10000
3,spectral,layer4.0.conv2.weight,512x512x3x3,38.392490525650814,511.99999952818257,10000
3,spectral,layer4.0.downsample.0.weight,512x256x1x1,14.984488413532869,255.9999999034697,10000
3,spectral,layer4.1.conv1.weight,512x512x3x3,24.576156203948283,511.99999952386975,10000
3,spectral,layer4.1.conv2.weight,512x512x3x3,29.258156332481132,511.9999995280875,10000
3,spectral,fc.weight,100x512,23.04374674060291,99.99999999535444,10000
4,frobenius,conv1.weight,64x3x3x3,4.864708903603909,4.864712628423099,10000
4,frobenius,layer1.0.conv1.weight,64x64x3x3,22.515689723890308,22.515794091777785,10000
4,frobenius,layer1.0.conv2.weight,64x64x3x3,31.99691357668447,31.997004470707726,10000
4,frobenius,layer1.1.conv1.weight,64x64x3x3,30.849113212015478,30.849251826533084,10000
4,frobenius,layer1.1.conv2.weight,64x64x3x3,33.47831991024918,33.47832529643382,10000
4,frobenius,layer2.0.conv1.weight,128x64x3x3,43.70811121050143,43.70786874999486,10000
4,frobenius,layer2.0.conv2.weight,128x128x3x3,53.75479170539917,53.75478589389837,10000
4,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.03037727297748,19.03049639979411,10000
4,frobenius,layer2.1.conv1.weight,128x128x3x3,52.41923984567693,52.419059593885265,10000
4,frobenius,layer2.1.conv2.weight,128x128x3x3,42.03933011593768,42.03956841957157,10000
4,frobenius,layer3.0.conv1.weight,256x128x3x3,48.893153158579196,48.892352378749166,10000
4,frobenius,layer3.0.conv2.weight,256x256x3x3,45.08678122811437,45.08674706562515,10000
4,frobenius,layer3.0.downsample.0.weight,256x128x1x1,17.947441065725073,17.947380932293164,10000
4,frobenius,layer3.1.conv1.weight,256x256x3x3,40.299388187927015,40.29866029881561,10000
4,frobenius,layer3.1.conv2.weight,256x256x3x3,23.731307304158193,23.731378756740256,10000
4,frobenius,layer4.0.conv1.weight,512x256x3x3,21.082177258231802,21.08227031923484,10000
4,frobenius,layer4.0.conv2.weight,512x512x3x3,18.780392100996124,18.780807752905424,10000
4,frobenius,layer4.0.downsample.0.weight,512x256x1x1,8.392042358458406,8.392023365122352,10000
4,frobenius,layer4.1.conv1.weight,512x512x3x3,16.025427554335923,16.026516084201532,10000
4,frobenius,layer4.1.conv2.weight,512x512x3x3,22.77898119176459,22.778855061807338,10000
4,frobenius,fc.weight,100x512,18.68756754956508,18.687630978103794,10000
4,spectral,conv1.weight,64x3x3x3,4.864708903603909,26.999999999846114,10000
4,spectral,layer1.0.conv1.weight,64x64x3x3,22.515689723890308,63.999999998221526,10000
4,spectral,layer1.0.conv2.weight,64x64x3x3,31.99691357668447,63.99999999814777,10000
4,spectral,layer1.1.conv1.weight,64x64x3x3,30.849113212015478,63.999999998134754,10000
4,spectral,layer1.1.conv2.weight,64x64x3x3,33.47831991024918,63.99999999829482,10000
4,spectral,layer2.0.conv1.weight,128x64x3x3,43.70811121050143,127.999999945514,10000
4,spectral,layer2.0.conv2.weight,128x128x3x3,53.75479170539917,127.99999994961631,10000
4,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.03037727297748,63.99999999780877,10000
4,spectral,layer2.1.conv1.weight,128x128x3x3,52.41923984567693,127.99999995248328,10000
4,spectral,layer2.1.conv2.weight,128x128x3x3,42.03933011593768,127.99999995178283,10000
4,spectral,layer3.0.conv1.weight,256x128x3x3,48.893153158579196,255.99999987989924,10000
4,spectral,layer3.0.conv2.weight,256x256x3x3,45.08678122811437,255.9999999081324,10000
