problem_family,base_setting,seed,step,eval_algo,update_source,source_algo,budget,target_layer_relative_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,fro,0.0001,0.0001532792239327137,0.0001532781949184075,1.0290143061914784e-09,1.0288938982481052e-09,0.06334420100644146,0.0006329184407616906
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,op,0.0001,0.0001532792239327137,0.00015327812004395244,1.1038887612433313e-09,1.1037560328261635e-09,0.06792766450117667,0.0006331555641509764
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,fro,0.0003,0.0001532792239327137,0.00015327613616555557,3.0877671581175554e-09,3.0866816947443153e-09,0.06334420100644146,0.0018987553222850713
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,op,0.0003,0.0001532792239327137,0.00015327591146794796,3.3124647657244936e-09,3.3112680984784895e-09,0.06792766450117667,0.0018994666924529288
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,fro,0.001,0.0001532792239327137,0.00015326892286325437,1.0301069459315573e-08,1.028893898248105e-08,0.06334420100644146,0.0063291844076169045
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,op,0.001,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.1037560328261635e-08,0.06792766450117667,0.006331555641509765
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,fro,0.003,0.0001532792239327137,0.00015324824613990672,3.097779280696587e-08,3.0866816947443146e-08,0.06334420100644145,0.018987553222850718
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,op,0.003,0.0001532792239327137,0.00015324598872114777,3.323521156591361e-08,3.3112680984784914e-08,0.06792766450117668,0.018994666924529294
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,fro,0.01,0.0001532792239327137,0.00015317503044312764,1.0419348958604535e-07,1.0288938982481053e-07,0.06334420100644148,0.06329184407616906
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_update,Muon,op,0.01,0.0001532792239327137,0.00015316740306456572,1.1182086814796335e-07,1.1037560328261637e-07,0.0679276645011767,0.06331555641509763
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,fro,0.0001,0.0001532792239327137,0.0001532781949184075,1.0290143061914784e-09,1.0288938982481052e-09,0.06334420100644146,0.0006329184407616906
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,op,0.0001,0.0001532792239327137,0.00015327812004395244,1.1038887612433313e-09,1.1037560328261635e-09,0.06792766450117667,0.0006331555641509764
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,fro,0.0003,0.0001532792239327137,0.00015327613616555557,3.0877671581175554e-09,3.0866816947443153e-09,0.06334420100644146,0.0018987553222850713
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,op,0.0003,0.0001532792239327137,0.00015327591146794796,3.3124647657244936e-09,3.3112680984784895e-09,0.06792766450117667,0.0018994666924529288
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,fro,0.001,0.0001532792239327137,0.00015326892286325437,1.0301069459315573e-08,1.028893898248105e-08,0.06334420100644146,0.0063291844076169045
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,op,0.001,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.1037560328261635e-08,0.06792766450117667,0.006331555641509765
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,fro,0.003,0.0001532792239327137,0.00015324824613990672,3.097779280696587e-08,3.0866816947443146e-08,0.06334420100644145,0.018987553222850718
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,op,0.003,0.0001532792239327137,0.00015324598872114777,3.323521156591361e-08,3.3112680984784914e-08,0.06792766450117668,0.018994666924529294
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,fro,0.01,0.0001532792239327137,0.00015317503044312764,1.0419348958604535e-07,1.0288938982481053e-07,0.06334420100644148,0.06329184407616906
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_update,Muon,op,0.01,0.0001532792239327137,0.00015316740306456572,1.1182086814796335e-07,1.1037560328261637e-07,0.0679276645011767,0.06331555641509763
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,fro,0.0001,0.0001532792239327137,0.00015327791735986906,1.3065728446273826e-09,1.3064876197962888e-09,0.0804343524067116,0.0006329184407616908
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,op,0.0001,0.0001532792239327137,0.00015327850728651967,7.166461940208164e-10,7.166225137977743e-10,0.0871977908547107,0.0003202351399956023
