group_type,problem_family,base_setting,target_layer_relative_norm,budget,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,op,Adam,update_grad_cosine,20,20,5,1.0400617599152204,0.49478062379269394,1.585342896037747,0.7010335725537234,0.4784770298666018,1.0271090129121794,20,False,False,-0.02989205382375802,-0.12823894751591544,0.06845483986839941
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,op,Muon,update_grad_inner,20,15,0,0.3606128768979315,0.22132582032736,0.4998999334685029,0.5161400460787111,0.451842692565863,0.5895869326852111,15,False,True,-1.3101782558196658e-08,-2.196035668833664e-08,-4.243208428056678e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,op,Muon,delta_loss,20,15,0,0.36066330967419163,0.22143576042776933,0.4998908589206139,0.5160824678708104,0.45174006095697045,0.5895893162085436,15,False,True,-1.3114571657375187e-08,-2.1981560001422502e-08,-4.247583313327872e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.0003,op,Muon,update_grad_cosine,20,15,11,0.7618171755765721,0.4755193391357559,1.0481150120173883,1.0869853722467067,0.9610540207891073,1.229418090887512,15,False,False,-0.04712240221281114,-0.09052560301229068,-0.0037192014133315965
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,fro,Adam,update_grad_inner,20,20,5,0.8847081609185699,0.49585561518654714,1.2735607066505925,0.6571256633727711,0.4671813699589483,0.9242965692340183,20,False,True,-1.112701449611671e-08,-9.731948214036895e-08,7.506545314813552e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,fro,Adam,delta_loss,20,20,5,0.8309050868032685,0.4778332744853039,1.183976899121233,0.6342635367793943,0.4585709706931215,0.8772692991879792,20,False,True,-1.1494187316745175e-08,-9.798223758971337e-08,7.499386295622302e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,fro,Adam,update_grad_cosine,20,20,5,0.8847081609185699,0.495855615186547,1.2735607066505927,0.6571256633727711,0.4671813699589483,0.9242965692340183,20,False,True,-0.02161865958171651,-0.11586824662698023,0.07263092746354721
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,fro,Muon,update_grad_inner,20,15,11,0.7189444142746192,0.4340851569859571,1.0038036715632812,1.0395107152065235,0.9106198306522089,1.1866450637861001,15,False,False,-4.1316862357622215e-08,-7.476645869298655e-08,-7.867266022257874e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,fro,Muon,delta_loss,20,15,11,0.7212912900968471,0.4365710006415715,1.0060115795521227,1.04147281573305,0.912046861953405,1.1892652353277229,15,False,False,-4.135477288999393e-08,-7.486304115706242e-08,-7.846504622925431e-09
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,fro,Muon,update_grad_cosine,20,15,11,0.7189444142746192,0.4340851569859571,1.0038036715632812,1.0395107152065235,0.9106198306522089,1.1866450637861001,15,False,False,-0.04883375895824944,-0.09117130994363597,-0.006496207972862919
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,op,Adam,update_grad_inner,20,20,15,2.0962181651279175,1.0463850355752926,3.146051294680542,1.453283276553078,1.00573849112853,2.0999815563775015,20,True,False,6.809921365808805e-08,1.6847002054665176e-08,1.1935142526151091e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,op,Adam,delta_loss,20,20,15,1.976237779394653,1.0140752876886392,2.938400271100667,1.413373442931477,0.9945974938224181,2.0084752893421687,20,False,False,6.619179813722476e-08,1.6187376534991957e-08,1.1619621973945756e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,op,Adam,update_grad_cosine,20,20,5,1.0400617599152204,0.49478062379269394,1.585342896037747,0.7010335725537234,0.47847702986660173,1.0271090129121792,20,False,False,-0.029892053823758015,-0.12823894751591547,0.06845483986839943
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,op,Muon,update_grad_inner,20,15,0,0.3606128768979314,0.22132582032735992,0.4998999334685029,0.5161400460787111,0.451842692565863,0.5895869326852111,15,False,True,-4.3672608527322185e-08,-7.320118896112212e-08,-1.4144028093522254e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.001,op,Muon,delta_loss,20,15,0,0.3607803785261329,0.2216911309928428,0.4998696260594231,0.5159478878500382,0.4515000730711985,0.5895950828228045,15,False,True,-4.3814944041089046e-08,-7.343716466824136e-08,-1.4192723413936734e-08
