seed,layer,geometry,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,alignment,step_size,head_gradient_nuclear_rank,tail_activation_stable_rank,condition_score,tail_sandwiched_stable_rank,tail_local_operator_stable_rank,theorem_condition_score,local_operator_condition_score,jvp_tail_drift_sq,scaled_jvp_tail_drift_sq,tail_output_drift_fro,tail_output_drift_rms,tail_loss_before,tail_loss_after,tail_loss_increase,tail_margin_before,tail_margin_after,tail_margin_drop,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop
2,2,frobenius,0.08026491851066912,0.0787026022732795,0.001562316237389616,0.0016052983702133825,0.28976797025856044,0.0055399441448997005,2.663512205280924,1.1282705227850043,2.3607035294216097,1.1277915674626002,11.282705227850022,2.3617060830429124,0.2360703529421614,18153.59722472674,0.5571517098404475,0.7464259573732397,0.01669059180856925,11.519087374864712,11.527501233749831,0.008413858885118586,-10.627126084484175,-10.642916385621474,0.015790301137299068,0.185,0.185,0.0
2,2,spectral,0.08026491851066912,0.07868881902213347,0.0015760994885356538,0.0016052983702133825,0.4729091579931013,0.0033945174101212908,2.663512205280924,1.1282705227850043,2.3607035294216097,1.1277915674626002,11.282705227850022,2.3617060830429124,0.2360703529421614,24832.642322554893,0.2861402907724366,0.5349208266392743,0.011961193309457979,11.519087374864712,11.5272493293903,0.008161954525586879,-10.627126084484175,-10.641839235019255,0.014713150535079933,0.185,0.185,0.0
3,1,frobenius,0.2026570267806231,0.19867121592882397,0.0039858108517991375,0.004053140535612463,0.2436286019001871,0.016636554591701862,2.115627595200856,1.3381493476782416,1.5810100710145543,,3.869372926758651,,0.5467623915415938,4156.549359287839,1.150428735613903,1.0725804098587195,0.023983627077786826,11.200553105107335,11.204649210609023,0.00409610550168793,-10.271947743463848,-10.27738799109964,0.005440247635792872,0.18,0.18,0.0
3,1,spectral,0.2026570267806231,0.19865345233420287,0.004003574446420244,0.004053140535612463,0.35436260408892906,0.011437833701536145,2.115627595200856,1.3381493476782416,1.5810100710145543,,3.869372926758651,,0.5467623915415938,5070.941016798099,0.6634009893238918,0.8144943150960707,0.01821264655841948,11.200553105107335,11.203845351724926,0.003292246617590422,-10.271947743463848,-10.277534698769392,0.005586955305544095,0.18,0.18,0.0
3,2,frobenius,0.2026570267806231,0.19865264680369055,0.004004379976932565,0.004053140535612463,0.638324783729066,0.006349652463647408,2.3065896993920987,1.1302352504574111,2.040804954949522,1.1298942606009887,11.3023525045741,2.041420847792631,0.20408049549495239,15617.01026665741,0.6296479693829514,0.7935036038876995,0.01774327998683963,11.200553105107335,11.203853305736015,0.003300200628679306,-10.271947743463848,-10.277148922509346,0.0052011790454979945,0.18,0.18,0.0
3,2,spectral,0.2026570267806231,0.19865303893773367,0.004003987842889439,0.004053140535612463,0.9694532722760016,0.004180851879634009,2.3065896993920987,1.1302352504574111,2.040804954949522,1.1298942606009887,11.3023525045741,2.041420847792631,0.20408049549495239,23842.30977420511,0.41675218870627945,0.6455634660561808,0.014435237938919977,11.200553105107335,11.205045293978971,0.004492188871635605,-10.271947743463848,-10.279898306540613,0.007950563076764894,0.18,0.18,0.0
4,1,frobenius,0.18581923339804438,0.18214382423418177,0.0036754091638626085,0.0037163846679608876,0.3524035623718178,0.010545820374085106,1.9734208709888927,1.3302852257243982,1.4834569555670132,,4.304042873505089,,0.45850399937624126,5872.526763573551,0.6531091139289267,0.8075898263286936,0.018058257496082104,10.74043485792106,10.747431615960199,0.006996758039139905,-9.798681538887388,-9.806086241585541,0.007404702698153187,0.2,0.2,0.0
4,1,spectral,0.18581923339804438,0.18213730238028442,0.0036819310177599596,0.0037163846679608876,0.4950512352011364,0.007507070791270609,1.9734208709888927,1.3302852257243982,1.4834569555670132,,4.304042873505089,,0.45850399937624126,6991.405664862631,0.39400843974363015,0.6275890568149501,0.014033317929732064,10.74043485792106,10.747422086576316,0.006987228655257027,-9.798681538887388,-9.807120440952165,0.008438902064776599,0.2,0.2,0.0
4,2,frobenius,0.18581923339804438,0.18214541579798,0.003673817600064383,0.0037163846679608876,0.7224044495600457,0.005144465361784825,2.2050828634633097,1.1434417492285487,1.9284610387464194,1.1426765232402594,11.43441749228546,1.9297524877910428,0.19284610387464238,16973.786532944916,0.4492201524585028,0.6702388771612257,0.01498699690495632,10.74043485792106,10.747505484999134,0.0070706270780753755,-9.798681538887388,-9.808222989126259,0.009541450238870652,0.2,0.2,0.0
4,2,spectral,0.18581923339804438,0.18213959543901484,0.003679637959029536,0.0037163846679608876,1.0727360346265844,0.003464398088626293,2.2050828634633097,1.1434417492285487,1.9284610387464194,1.1426765232402594,11.43441749228546,1.9297524877910428,0.19284610387464238,21931.214496555353,0.26321962322773346,0.5130493380053277,0.011472131955911792,10.74043485792106,10.74697042067654,0.006535562755480839,-9.798681538887388,-9.809140950814633,0.010459411927245199,0.2,0.2,0.0
