problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,checkpoint_recovery,continuation_variant,continuation_algo,horizon,loss_before,loss_after,total_decrease,recovery_before,recovery_after,finite
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,own_fresh,Muon,10,0.004009297459374054,0.00012245971690671978,0.003886837742467334,1.1479540154375898,1.1797108647548786,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,switched_fresh,Adam,10,0.004009297459374054,0.0008506527813580263,0.0031586446780160274,1.1479540154375898,1.180415545847436,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,own_fresh,Muon,30,0.004009297459374054,0.0001306640926870706,0.003878633366686983,1.1479540154375898,1.178923619583295,True
MatrixSensing,Matrix sensing kappa=1e+05,0,Muon,3,0.004009297459374054,1.1479540154375898,switched_fresh,Adam,30,0.004009297459374054,0.00010223766255201625,0.003907059796822037,1.1479540154375898,1.171359343064948,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,own_fresh,Adam,1,0.004769739201602011,0.003185691265911099,0.0015840479356909122,1.2500053975261833,1.2144774075326932,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,switched_fresh,Muon,1,0.004769739201602011,0.003003229960032807,0.0017665092415692042,1.2500053975261833,1.2282741239166557,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,own_fresh,Adam,3,0.004769739201602011,0.0023234142163309065,0.002446324985271105,1.2500053975261833,1.2188884863792528,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,switched_fresh,Muon,3,0.004769739201602011,0.0008047405470800165,0.003964998654521995,1.2500053975261833,1.1949035673364863,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,own_fresh,Adam,10,0.004769739201602011,0.0006363528492376102,0.004133386352364401,1.2500053975261833,1.2018055608295026,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,switched_fresh,Muon,10,0.004769739201602011,0.0001268374213046428,0.004642901780297369,1.2500053975261833,1.1724827995852403,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,own_fresh,Adam,30,0.004769739201602011,0.00011906261577412518,0.0046506765858278865,1.2500053975261833,1.1967777101918602,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Adam,3,0.004769739201602011,1.2500053975261833,switched_fresh,Muon,30,0.004769739201602011,0.00013374217670285432,0.004635997024899157,1.2500053975261833,1.1727576435611031,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,own_fresh,Muon,1,0.004286243272425912,0.0027273306420807736,0.0015589126303451385,1.1699773795358508,1.1714219914436557,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,switched_fresh,Adam,1,0.004286243272425912,0.00443539508324955,-0.00014915181082363754,1.1699773795358508,1.2178680939193978,True
MatrixSensing,Matrix sensing kappa=1e+05,1,Muon,3,0.004286243272425912,1.1699773795358508,own_fresh,Muon,3,0.004286243272425912,0.0007903913401265757,0.003495851932299336,1.1699773795358508,1.1844050570371136,True
