group_type,problem_family,base_setting,source_algo,horizon,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,recovery_after,5,5,0.985853013363033,0.9798485135840053,0.9918575131420607,0.9858435331718374,0.9798616716464111,0.9918619127776669,5,-0.01654295691521899,-0.023478596683372665,-0.009607317147065312
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,10,loss_after,5,5,0.16798497557662778,0.14995724187017687,0.1860127092830787,0.16748478925331148,0.15046023123916183,0.18643567406617806,5,-0.0005287738365511441,-0.0006109778329298455,-0.0004465698401724427
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,10,total_decrease,5,5,1.1187466927015461,1.0957023163339792,1.141791069069113,1.1186245903286878,1.095964099757607,1.1417536161675164,5,0.0005287738365511441,0.000446569840172443,0.0006109778329298451
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,10,recovery_after,5,5,0.9812014780691387,0.977144189554039,0.9852587665842384,0.9811971195271251,0.9771445239948552,0.985266522737425,5,-0.02175156134457055,-0.026677779096205192,-0.016825343592935905
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,30,loss_after,5,3,0.961184540713963,0.7631230315157898,1.1592460499121362,0.9512051532222164,0.7804337714271932,1.159344042559681,5,-5.898937399607625e-06,-2.9302747438864435e-05,1.750487263964918e-05
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,30,total_decrease,5,3,1.0011573893117645,0.9964133639206053,1.0059014147029235,1.0011515458871318,0.9964124151760431,1.0059132168230862,5,5.898937399607604e-06,-1.7504872639649306e-05,2.9302747438864512e-05
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Adam,30,recovery_after,5,5,0.986381244767502,0.9809506133250335,0.9918118762099705,0.9863734790597571,0.980953814074074,0.9918230871152726,5,-0.015678971594323476,-0.02206335242338893,-0.009294590765258022
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,1,loss_after,5,0,1.4689322285024642,1.206484368859712,1.7313800881452164,1.4570291367050878,1.2216473008814477,1.7377633492709605,5,0.0013591448110314521,0.0007017171409188972,0.002016572481144007
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,1,total_decrease,5,0,0.16707640477120517,-0.25667445215770074,0.5908272617001111,0.4033232189380917,0.21775115266258438,0.7470436640427253,3,-0.0013591448110314521,-0.002016572481144007,-0.0007017171409188972
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,1,recovery_after,5,0,1.0309300886863213,1.0275041064263515,1.0343560709462911,1.0309271324715357,1.02750509192337,1.0343605699087342,5,0.034914888463774926,0.030982724672501863,0.03884705225504799
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,3,loss_after,5,0,2.7184415524885304,2.3737948615068545,3.0630882434702063,2.7075020560770517,2.3927115763768843,3.0637070744488266,5,0.0015064348471369644,0.0013937279119778032,0.0016191417822961256
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,3,total_decrease,5,0,0.5942047301524503,0.5548917148609053,0.6335177454439954,0.5935042621744023,0.5544528167842316,0.6353061947853007,5,-0.0015064348471369644,-0.0016191417822961256,-0.0013937279119778032
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,3,recovery_after,5,0,1.040156331290835,1.0345132839347797,1.0457993786468904,1.0401483867847505,1.0345202595862388,1.0458071328285377,5,0.045736001033752326,0.038575402549199535,0.05289659951830512
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,10,loss_after,5,0,10.154542225890083,8.234163299419889,12.074921152360277,10.056954443874119,8.277116103418615,12.219513586910493,5,0.0008090842028198712,0.0007362829360923153,0.0008818854695474271
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,10,total_decrease,5,0,0.8203013215802681,0.7975313058196062,0.8430713373409301,0.8201352116761739,0.7974679111817786,0.8434468095830402,5,-0.0008090842028198715,-0.0008818854695474275,-0.0007362829360923155
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,10,recovery_after,5,5,0.9931251312536601,0.9879723961965696,0.9982778663107506,0.9931181805807738,0.987971217395175,0.9982919575333807,5,-0.007939397160745232,-0.01378749516901677,-0.002091299152473694
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,30,loss_after,5,0,1.2075580467278688,0.9923796870548223,1.4227364064009154,1.1979486370816868,1.0065133029068436,1.4257943068822936,5,1.8021630693255043e-05,2.1241912478898547e-06,3.391907013862023e-05
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,30,total_decrease,5,0,0.996091389029691,0.9928001734830356,0.9993826045763463,0.9960885656782971,0.9928013524030624,0.9993866630756079,5,-1.802163069325527e-05,-3.391907013862036e-05,-2.12419124789018e-06
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+02,Muon,30,recovery_after,5,5,0.9864930538005279,0.9817414995139413,0.9912446080871145,0.986487093991122,0.9817342545339852,0.9912629432218314,5,-0.015589432299563066,-0.020825955408855013,-0.010352909190271119
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,1,loss_after,5,5,0.8942023644668385,0.8062903510385058,0.9821143778951713,0.891952698696753,0.8081664037076374,0.9844255008158317,5,-0.00036247699117542936,-0.0006824670329729482,-4.248694937791049e-05
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,1,total_decrease,5,5,1.2921113791371297,0.9857379927496248,1.5984847655246346,1.2739301271977221,1.010039816241202,1.6067663302834085,5,0.00036247699117542936,4.248694937791049e-05,0.0006824670329729482
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,1,recovery_after,5,1,1.0089303754302297,1.0024939924867282,1.0153667583737311,1.00891967762713,1.0024842045982831,1.0153964633399226,5,0.01072520338588312,0.0029772345082571747,0.018473172263509065
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,3,loss_after,5,5,0.3339890968817418,0.31694310988633567,0.3510350838771479,0.3337583287784071,0.3168774789543796,0.35153846337243994,5,-0.0015260179919229242,-0.0016138944497319106,-0.0014381415341139377
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,3,total_decrease,5,5,1.6284042922398114,1.5806724915436403,1.6761360929359825,1.6280451979543171,1.5813906120939596,1.6760761992082878,5,0.001526017991922924,0.0014381415341139375,0.0016138944497319104
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,3,recovery_after,5,5,0.9769937489956961,0.9701506326299049,0.9838368653614874,0.97698130483793,0.9701592052084643,0.983851377050766,5,-0.027586199235333675,-0.03566727393003084,-0.019505124540636506
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,10,loss_after,5,5,0.1944152466609092,0.18110209643444974,0.20772839688736866,0.19417638100503665,0.18122832315971826,0.20804952715356662,5,-0.0005564440622183867,-0.0006311311892846217,-0.00048175693515215175
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,10,total_decrease,5,5,1.1385093422295551,1.1145150055321107,1.1625036789269996,1.1383786972717933,1.1147136256688084,1.1625461720042265,5,0.0005564440622183866,0.0004817569351521518,0.0006311311892846213
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,10,recovery_after,5,5,0.9731004262642916,0.9697743429210743,0.9764265096075089,0.9730974752570075,0.9697761406896196,0.9764301848859644,5,-0.031842171218530654,-0.03549652360089534,-0.028187818836165963
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,30,loss_after,5,0,1.209105248704148,1.066656376851868,1.351554120556428,1.2047878017458122,1.0715495276567626,1.3545931473738222,5,2.389475772325038e-05,9.088076626823793e-06,3.870143881967697e-05
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,30,total_decrease,5,0,0.9947874249412679,0.9914938973722067,0.9980809525103291,0.9947845944384217,0.9914955380138452,0.9980845615446396,5,-2.3894757723250635e-05,-3.870143881967697e-05,-9.088076626824301e-06
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Adam,30,recovery_after,5,5,0.9788926230976257,0.9750957904965538,0.9826894556986976,0.9788888010206638,0.975098721791708,0.9826936117842229,5,-0.024841482482608424,-0.029138499392796186,-0.02054446557242066
setting_source_horizon,MatrixSensing,Matrix sensing kappa=1e+05,Muon,1,loss_after,5,0,1.8883630221939043,1.578374102556289,2.1983519418315196,1.8752609821599142,1.5922587399872092,2.208563007316019,5,0.0021904200111985466,0.0015681487627141266,0.002812691259682967
