group_type,problem_family,setting,checkpoint_source,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
family_source,MatrixSensing,All,Muon,PolarMuon/FreshAdamSign,nrUpdate,90,1.4433986901460527,1.4393980588908317,1.4474104406676513,True,False,1.0
family_source,MatrixSensing,All,Muon,PolarMuon/FreshAdamSign,stUpdate,90,5.814040137399068,5.728006844410447,5.901365629874094,True,False,1.0
family_source,MatrixSensing,All,Muon,PolarMuon/GD,delta_loss,90,0.8008853319225481,0.7979220222526869,0.8038596466830754,False,True,0.0
family_source,MatrixSensing,All,Muon,PolarMuon/GD,update_grad_inner,90,0.798253724942766,0.7950724468311793,0.8014477321213248,False,True,0.0
family_source,MatrixSensing,All,Muon,PolarMuon/GD,update_grad_cosine,90,0.798253724942766,0.7950724468311793,0.8014477321213247,False,True,0.0
family_source,MatrixSensing,All,Muon,PolarMuon/GD,nrUpdate,90,1.5693437871588547,1.556860110481683,1.5819275641483992,True,False,1.0
family_source,MatrixSensing,All,Muon,PolarMuon/GD,stUpdate,90,9.039228601911589,8.913314385152242,9.166921549824917,True,False,1.0
family_source,SmallMLPDigits,All,Adam,FreshAdamSign/GD,delta_loss,90,0.5847149827027553,0.580508078992414,0.5889523735664518,False,True,0.0
family_source,SmallMLPDigits,All,Adam,FreshAdamSign/GD,update_grad_inner,90,0.5850726184371745,0.5808171423997183,0.5893592730934823,False,True,0.0
family_source,SmallMLPDigits,All,Adam,FreshAdamSign/GD,update_grad_cosine,90,0.5850726184371745,0.5808171423997183,0.5893592730934823,False,True,0.0
family_source,SmallMLPDigits,All,Adam,FreshAdamSign/GD,nrUpdate,90,1.8675032354775258,1.7749770957120365,1.964852584827288,True,False,1.0
family_source,SmallMLPDigits,All,Adam,FreshAdamSign/GD,stUpdate,90,1.4584999929360551,1.4274697775089498,1.4902047405211254,True,False,1.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/FreshAdamSign,delta_loss,90,0.8154221163976921,0.7804745416195423,0.8519345506526673,False,True,0.24444444444444444
family_source,SmallMLPDigits,All,Adam,PolarMuon/FreshAdamSign,update_grad_inner,90,0.813637003189671,0.7787559916330501,0.8500803590239415,False,True,0.23333333333333334
family_source,SmallMLPDigits,All,Adam,PolarMuon/FreshAdamSign,update_grad_cosine,90,0.813637003189671,0.7787559916330501,0.8500803590239414,False,True,0.23333333333333334
family_source,SmallMLPDigits,All,Adam,PolarMuon/FreshAdamSign,nrUpdate,90,2.153073533441958,2.0674986467092005,2.2421904110006734,True,False,1.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/FreshAdamSign,stUpdate,90,7.105332788881011,6.504057416561224,7.762193782637307,True,False,1.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/GD,delta_loss,90,0.47678952868492075,0.4565143644343697,0.4979651734403869,False,True,0.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/GD,update_grad_inner,90,0.47603673191355655,0.45563135950839356,0.4973559554273057,False,True,0.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/GD,update_grad_cosine,90,0.4760367319135564,0.45563135950839334,0.4973559554273056,False,True,0.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/GD,nrUpdate,90,4.020871789923886,3.6901292212004333,4.381258482256159,True,False,1.0
family_source,SmallMLPDigits,All,Adam,PolarMuon/GD,stUpdate,90,10.36312782239127,9.366425772749261,11.465891138076815,True,False,1.0
family_source,SmallMLPDigits,All,Init,FreshAdamSign/GD,delta_loss,30,0.6280486832910217,0.6165836608143187,0.6397268913396839,False,True,0.0
family_source,SmallMLPDigits,All,Init,FreshAdamSign/GD,update_grad_inner,30,0.6275703134988547,0.6165515762444055,0.6387859727552265,False,True,0.0
family_source,SmallMLPDigits,All,Init,FreshAdamSign/GD,update_grad_cosine,30,0.6275703134988546,0.6165515762444055,0.6387859727552264,False,True,0.0
family_source,SmallMLPDigits,All,Init,FreshAdamSign/GD,nrUpdate,30,1.946538513712043,1.8256010248075638,2.0754875429387365,True,False,1.0
family_source,SmallMLPDigits,All,Init,FreshAdamSign/GD,stUpdate,30,1.6734270034148522,1.617018051769031,1.7318037561141615,True,False,1.0
family_source,SmallMLPDigits,All,Init,PolarMuon/FreshAdamSign,delta_loss,30,0.8662645025074905,0.8100454243554979,0.926385318331509,False,True,0.3
family_source,SmallMLPDigits,All,Init,PolarMuon/FreshAdamSign,update_grad_inner,30,0.8618782549160562,0.8059191250512516,0.9217229163657166,False,True,0.3
family_source,SmallMLPDigits,All,Init,PolarMuon/FreshAdamSign,update_grad_cosine,30,0.8618782549160561,0.8059191250512515,0.9217229163657166,False,True,0.3
family_source,SmallMLPDigits,All,Init,PolarMuon/FreshAdamSign,nrUpdate,30,1.7282265985757552,1.5797401928878867,1.8906698642418436,True,False,1.0
family_source,SmallMLPDigits,All,Init,PolarMuon/FreshAdamSign,stUpdate,30,6.258549325757444,5.267371007787202,7.436240888487149,True,False,1.0
family_source,SmallMLPDigits,All,Init,PolarMuon/GD,delta_loss,30,0.5440562801815815,0.5050731511597707,0.5860482492988152,False,True,0.0
family_source,SmallMLPDigits,All,Init,PolarMuon/GD,update_grad_inner,30,0.5408892066355152,0.5020603510274032,0.5827210478901742,False,True,0.0
family_source,SmallMLPDigits,All,Init,PolarMuon/GD,update_grad_cosine,30,0.5408892066355151,0.5020603510274031,0.5827210478901742,False,True,0.0
family_source,SmallMLPDigits,All,Init,PolarMuon/GD,nrUpdate,30,3.3640596345492697,2.8864946446245394,3.9206368339809656,True,False,1.0
family_source,SmallMLPDigits,All,Init,PolarMuon/GD,stUpdate,30,10.47322544392633,8.712483865949977,12.589802504884851,True,False,1.0
family_source,SmallMLPDigits,All,Muon,FreshAdamSign/GD,delta_loss,90,0.6169946849440126,0.6125896733139409,0.6214313721447089,False,True,0.0
