hidden_dim,num_samples,algo,baseline,metric,n_pairs,higher_than_adam_pairs,win_rate_vs_adam,geomean_ratio_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_vs_adam,delta_ci95_low,delta_ci95_high
64,1024,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.5338822032776411,0.49607040201451236,0.5745761202827218,False,True,-0.00288432061407601,-0.0034813386930298614,-0.002287302535122159
64,1024,AdamFirstMuonSecond,Adam,update_grad_inner,50,0,0.0,0.5615682391368056,0.5202088170903457,0.6062159595277361,False,True,-0.0026065204820161065,-0.0031686105117622546,-0.0020444304522699583
64,1024,AdamFirstMuonSecond,Adam,update_grad_cosine,50,0,0.0,0.609520522206041,0.571094019341944,0.650532582040365,False,True,-0.22847268523506717,-0.25302087621382435,-0.20392449425630998
64,1024,MuonFirstAdamSecond,Adam,delta_loss,50,0,0.0,0.608228885824632,0.5758212679539303,0.6424604267674795,False,True,-0.0024322160897091737,-0.002925009548329685,-0.0019394226310886623
64,1024,MuonFirstAdamSecond,Adam,update_grad_inner,50,0,0.0,0.606155285183924,0.5766753755208507,0.6371422213486196,False,True,-0.00230055886780097,-0.002755062864139223,-0.0018460548714627168
64,1024,MuonFirstAdamSecond,Adam,update_grad_cosine,50,0,0.0,0.5759322606838492,0.5438959754447515,0.6098555309683528,False,True,-0.25148755329846995,-0.27293039853666695,-0.23004470806027297
128,128,Muon,Adam,delta_loss,50,1,0.02,0.528321830954543,0.4878354464641582,0.5721682569117457,False,True,-0.003938957909749768,-0.004738918900033898,-0.0031389969194656367
128,128,Muon,Adam,update_grad_inner,50,1,0.02,0.54176337405327,0.5023525524439939,0.5842660737715788,False,True,-0.0036878933531786667,-0.004426387748875959,-0.0029493989574813743
128,128,Muon,Adam,update_grad_cosine,50,1,0.02,0.7484344762916991,0.7211888343811109,0.7767094256010314,False,True,-0.14096309077870825,-0.1578472238963999,-0.12407895766101659
128,128,AdamFirstMuonSecond,Adam,delta_loss,50,0,0.0,0.5619552887590766,0.5254268031447373,0.6010232913019221,False,True,-0.003659246716451179,-0.004386589062777184,-0.002931904370125173
