seed,direction,head_classes,tail_classes,warmup_steps,hidden_dim,momentum_beta,momentum_history_steps,newton_schulz_steps,head_gradient_fro_norm,momentum_fro_norm,gradient_momentum_cosine,direction_cosine_to_polar_grad,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,update_fro_norm,update_op_norm,step_size,alignment
10,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.5514675324520953,0.3391655826992803,0.8694665963792749,0.4378453000593747,0.15050080448482459,0.14755083711208758,0.0029499673727370057,0.003010016089696492,11.757396146541543,11.76094645203862,0.003550305497077133,0.185,0.185,0.0,-10.906409487102014,-10.916051083508616,0.00964159640660256,0.6367959882893215,0.01423919117614083,0.021495035562991507,0.0033167559949238913,0.00331675599492389,0.9075180972924006
10,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.5514675324520953,0.3391655826992803,0.8694665963792749,0.4341892506034839,0.15050080448482459,0.14755518165022435,0.002945622834600231,0.003010016089696492,11.757396146541543,11.762136244117388,0.00474009757584426,0.185,0.185,0.0,-10.906409487102014,-10.917844252508427,0.011434765406413305,0.6405950660100901,0.01432414113649527,0.010447779920421505,0.0035071064767199372,0.003507106476719936,0.858261963153068
11,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4984765571622623,0.28673767992509125,0.7706351209598105,0.3147071816253527,0.1507004097549547,0.147758417447481,0.0029419923074736898,0.003014008195099094,12.336867973568351,12.342668098738459,0.0058001251701078615,0.2,0.2,0.0,-11.442906104689582,-11.456650135245955,0.013744030556372522,0.838890205075978,0.018758155242086266,0.006046439199181808,0.00551090349599931,0.006046439199181808,0.49847655716226225
11,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4984765571622623,0.28673767992509125,0.7706351209598105,1.0,0.1507004097549547,0.14774823712813512,0.0029521726268195714,0.003014008195099094,12.336867973568351,12.339943346059664,0.0030753724913132885,0.2,0.2,0.0,-11.442906104689582,-11.451743398149041,0.008837293459459161,0.5872870176062449,0.013132136936706798,0.019212905050193192,0.002964615611748407,0.002964615611748404,1.0166607040571982
11,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4984765571622623,0.28673767992509125,0.7706351209598105,0.37160559484203226,0.1507004097549547,0.14776523386831258,0.002935175886642105,0.003014008195099094,12.336867973568351,12.337931034221892,0.0010630606535411147,0.2,0.2,0.0,-11.442906104689582,-11.449606926036584,0.006700821347001451,0.8162220259955576,0.018251279348586672,0.0253563215082841,0.003912565351444082,0.003912565351444079,0.7703406651052258
11,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4984765571622623,0.28673767992509125,0.7706351209598105,0.3505600930569176,0.1507004097549547,0.14777381847165286,0.0029265912833018326,0.003014008195099094,12.336867973568351,12.336613826567437,-0.0002541470009145286,0.2,0.2,0.0,-11.442906104689582,-11.448641670645763,0.005735565956181077,0.8945035096722953,0.02000170653739393,0.013195111177278547,0.004376481346472169,0.0043764813464721684,0.6886829753150099
12,frobenius_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4834419002480612,0.27120389274089396,0.8143072504353249,0.28486438565156474,0.10239058154958997,0.10040971845290458,0.0019808630966853813,0.0020478116309917993,11.692237031888524,11.688894341268368,-0.0033426906201565743,0.19,0.19,0.0,-10.682582505466309,-10.676346079102041,-0.0062364263642678,0.5623177521919284,0.012573807188560323,0.004235900177334726,0.0038302330466865684,0.004235900177334726,0.4834419002480612
12,polar_grad,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4834419002480612,0.27120389274089396,0.8143072504353249,1.0,0.10239058154958997,0.10038113456257491,0.002009446987015051,0.0020478116309917993,11.692237031888524,11.692310970896497,7.393900797225683e-05,0.19,0.19,0.0,-10.682582505466309,-10.682007204954093,-0.0005753005122155486,0.4792478964129945,0.01071630874453233,0.014869883322360692,0.0022944728101856973,0.002294472810185696,0.8924976673949193
12,polar_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4834419002480612,0.27120389274089396,0.8143072504353249,0.350749115437308,0.10239058154958997,0.10038536197424817,0.0020052195753417906,0.0020478116309917993,11.692237031888524,11.692819575758882,0.0005825438703581653,0.19,0.19,0.0,-10.682582505466309,-10.684827668863361,0.0022451633970526075,0.6078225628124475,0.013591325687067685,0.01868674048588289,0.0028834266568439795,0.0028834266568439778,0.7102007003130117
12,ns_momentum,"0,1,2,3,4","5,6,7,8,9",80,32,0.9,8,5,0.4834419002480612,0.27120389274089396,0.8143072504353249,0.35280777649216255,0.10239058154958997,0.10038790825164706,0.002002673297942903,0.0020478116309917993,11.692237031888524,11.691927948723407,-0.00030908316511712997,0.19,0.19,0.0,-10.682582505466309,-10.683643975663689,0.001061470197379677,0.6308900884557972,0.014107131241180182,0.00834433770667521,0.0030981707027891527,0.003098170702789152,0.6609744353815757
